event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NSWWA Open Competition,2020-10-17,female,Sophie Prater,47.54,28,33,36,40,45,50,36,50,86,AUS
NSWWA Open Competition,2020-10-17,female,Irene Eng,52.44,47,51,53,56,58,60,53,60,113,AUS
NSWWA Open Competition,2020-10-17,female,Julia Hlaing,52.38,-45,45,-48,55,60,-63,45,60,105,AUS
NSWWA Open Competition,2020-10-17,female,Mary Macken,50.84,40,-43,-44,50,54,-55,40,54,94,AUS
NSWWA Open Competition,2020-10-17,female,April Morsley,58.66,-50,51,-54,65,68,-71,51,68,119,AUS
NSWWA Open Competition,2020-10-17,female,Chloe Todd,59.00,46,-50,50,55,59,62,50,62,112,AUS
NSWWA Open Competition,2020-10-17,female,Jenya Semenovska,61.42,28,30,32,38,41,43,32,43,75,AUS
NSWWA Open Competition,2020-10-17,female,Cathy Mason,63.10,22,23,-24,28,30,-32,23,30,53,AUS
NSWWA Open Competition,2020-10-17,female,Jessica Fisher,70.46,52,55,-57,64,67,70,55,70,125,AUS
NSWWA Open Competition,2020-10-17,female,Emmalyne Mitchell,79.16,60,65,70,75,81,87,70,87,157,AUS
NSWWA Open Competition,2020-10-17,female,Cherina Rajeevan,86.56,30,34,-36,50,55,-57,34,55,89,AUS
NSWWA Open Competition,2020-10-17,female,Lauren Knaggs,108.68,38,42,45,55,60,65,45,65,110,AUS
NSWWA Open Competition,2020-10-17,male,William Nguyen,68.20,70,74,77,90,95,100,77,100,177,AUS
NSWWA Open Competition,2020-10-17,male,Tyrell Navarro,70.92,74,77,80,82,87,91,80,91,171,AUS
NSWWA Open Competition,2020-10-17,male,Bao-Du Bui,72.00,70,-75,-77,90,-94,-97,70,90,160,AUS
NSWWA Open Competition,2020-10-17,male,Hayden Alcorn,80.22,95,98,-101,113,120,125,98,125,223,AUS
NSWWA Open Competition,2020-10-17,male,Trent La,79.80,75,80,85,91,100,105,85,105,190,AUS
NSWWA Open Competition,2020-10-17,male,Tyrese Bernaldo,78.44,-76,76,80,100,106,-111,80,106,186,AUS
NSWWA Open Competition,2020-10-17,male,Gabriel Mendoza,79.46,-55,55,60,85,93,-100,60,93,153,AUS
NSWWA Open Competition,2020-10-17,male,Ahmad Al-Thamer,78.06,50,55,-60,70,75,-78,55,75,130,AUS
NSWWA Open Competition,2020-10-17,male,Levi Navarro,78.00,40,43,-45,50,54,57,43,57,100,AUS
NSWWA Open Competition,2020-10-17,male,Ronan Maguero,86.92,96,100,103,122,127,-131,103,127,230,AUS
NSWWA Open Competition,2020-10-17,male,Andrew Rajeevan,81.52,100,-105,-105,120,126,-134,100,126,226,AUS
NSWWA Open Competition,2020-10-17,male,Nicholas Capaldi,87.76,-92,92,97,121,-127,-128,97,121,218,AUS
NSWWA Open Competition,2020-10-17,male,Jason Zhi Cheng Zhu,86.92,80,-84,84,100,106,-110,84,106,190,AUS
NSWWA Open Competition,2020-10-17,male,Haoping Tang,95.48,112,116,120,127,131,135,120,135,255,AUS
NSWWA Open Competition,2020-10-17,male,Jy Dobija,100.04,90,96,101,121,126,131,101,131,232,AUS
