event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Emily Scott,46.80,57,-60,-60,72,-75,-75,57,72,129,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Ashleigh Ricca,49.70,47,52,-55,65,68,71,52,71,123,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Tamara Bozovic,52.75,35,38,40,50,-55,-55,40,50,90,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Shanae Tritt,52.45,33,-36,-36,44,47,50,33,50,83,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Hannah Kaminski,54.45,60,64,67,75,79,-82,67,79,146,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Natalia Chorobczyk,55.70,60,-64,-64,73,76,78,60,78,138,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Jennifer Francis,57.00,-52,52,55,68,70,-72,55,70,125,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Belinda Robb,57.65,53,-57,-57,70,-75,-75,53,70,123,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Lucy Bongiovanni,57.40,-50,50,-53,-67,67,70,50,70,120,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Youlin Koh,57.95,-42,42,46,52,-56,-56,46,52,98,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Ada Lacey,57.20,33,-38,-38,40,44,-48,33,44,77,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Annabelle Harwood,60.90,60,-65,65,77,82,85,65,85,150,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Laiken Clarke,62.05,50,55,-60,70,-73,-73,55,70,125,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Ellyse Byrne,60.90,41,45,47,53,-58,-58,47,53,100,AUS
Victorian Junior/Youth/U15 Championships,2016-05-21,female,Hailee Stokes,61.15,30,-33,-33,30,35,-40,30,35,65,AUS
