event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Elena Palamara,69.22,0,0,0,0,0,0,70,88,158
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Annette Willmott,46.29,0,0,0,0,0,0,25,34,59
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Antonietta Discala,49.93,0,0,0,0,0,0,28,47,75
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Lynne Knapman,58.99,0,0,0,0,0,0,38,51,89
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Sandra Young,60.90,0,0,0,0,0,0,29,39,68
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Megan Kelly,93.98,0,0,0,0,0,0,60,66,126
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,female,Sarah Ireland,92.42,0,0,0,0,0,0,35,45,80
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Luke Robinson,61.85,0,0,0,0,0,0,53,63,116
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Abdul Razak,67.62,0,0,0,0,0,0,60,80,140
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Simon Rassy,73.34,0,0,0,0,0,0,85,118,203
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Tom Davison,81.00,0,0,0,0,0,0,93,122,215
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Patrick Canavan,81.41,0,0,0,0,0,0,93,106,199
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Benjamin Perrin,79.96,0,0,0,0,0,0,80,100,180
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Christopher O'Doherty,84.64,0,0,0,0,0,0,80,100,180
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,John Maeva,86.13,0,0,0,0,0,0,80,102,182
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Andrew D'Ath-Weston,85.16,0,0,0,0,0,0,70,102,172
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Pete Hardiman,102.13,0,0,0,0,0,0,120,155,275
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Daniel Kandilas,101.63,0,0,0,0,0,0,110,142,252
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Aidan Steiner,131.10,0,0,0,0,0,0,65,70,135
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Tommy Marshman,77.93,0,0,0,0,0,0,70,88,158
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Cameron Laurie,82.52,0,0,0,0,0,0,50,60,110
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,David Canavan,87.03,0,0,0,0,0,0,40,45,85
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Edward Mandla,96.84,0,0,0,0,0,0,86,102,188
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Stephen Johnstone,96.82,0,0,0,0,0,0,93,40,133
Bruce Walsh Memorial and NSW Masters Championships ,2012-04-21,male,Paul Dewar,108.15,0,0,0,0,0,0,82,112,194
