event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female,Chelsea Nicoll,49.90,46,-50,-50,54,58,62,46,62,108,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female,Christine Reid,69.22,-67,67,70,82,86,90,70,90,160,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,female,Angela Barnas,79.60,60,-63,-66,-80,80,-84,60,80,140,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Levi Deans,46.46,30,33,-36,40,43,46,33,46,79,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Thomas Foster,68.60,70,75,80,90,95,100,80,100,180,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Taj Marsh,70.00,50,53,57,65,68,71,57,71,128,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Zac Schwitter,78.65,87,91,-94,106,-111,112,91,112,203,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Wade Ambler,76.10,80,87,-92,100,105,110,87,110,197,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Matthew Barrett,87.85,-42,45,-48,55,-60,60,45,60,105,AUS
Uesaka QLD Club Challenge and League Round 3,2018-10-13,male,Jakob Daniels,92.95,-112,112,-121,150,157,-160,112,157,269,AUS
