event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,female,Tani Beister,59.90,25,29,32,30,35,40,32,40,72,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,female,Carolyn Smith,68.80,28,32,35,43,47,50,35,50,85,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,female,Sarah O'Connell,64.10,25,27,31,40,42,45,31,45,76,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,female,Coby Hailes,84.00,26,28,30,40,45,-47,30,45,75,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,female,Michelle Davison,59.90,35,-39,-39,-45,-48,48,35,48,83,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,female,Ellen Willis,66.90,28,32,-38,-36,40,45,32,45,77,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,male,Callum Hannay,72.40,-55,55,60,75,78,-80,60,78,138,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,male,Joshua Lowe,84.10,35,40,45,45,55,65,45,65,110,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,male,Jake Ratcliffe,98.50,80,85,90,100,105,111,90,111,201,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,male,Daniel Gillen,94.60,45,50,-56,60,65,70,50,70,120,AUS
JME Queensland Club Challenge Round 1 – Gold Coast,2013-03-09,male,Michael Miller,60.70,35,38,-41,45,49,51,38,51,89,AUS
