event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,female,Samara Leamon,62.70,48,-52,-55,58,62,65,48,65,113,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,female,Bianca Sheppard,65.70,52,57,62,60,63,65,62,65,127,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,female,Bronwyn Hitchener,75.00,54,-57,57,66,69,-72,57,69,126,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,female,Jo Maas,71.70,35,37,40,50,55,57,40,57,97,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Darryl Hockins,68.80,73,-78,78,95,100,-105,78,100,178,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Shane Wagner,83.90,-95,95,100,120,-125,-125,100,120,220,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Brent Vaughan,84.60,63,-67,67,80,85,90,67,90,157,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Aden Creed,93.40,35,38,41,44,47,50,41,50,91,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Timothy Hitchener,101.30,61,-64,-65,73,76,78,61,78,139,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Paul Grieco,94.80,50,53,55,55,60,65,55,65,120,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Chris Kassulke,78.80,45,50,-52,70,-75,75,50,75,125,AUS
JME Qld Club Challenge Round 1 - Toowoomba,2013-03-08,male,Ian Clark,104.80,50,55,57,65,70,75,57,75,132,AUS
