event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
IWF Masters Championships,2021-05-21,female,Denese Billings,41.90,33,-34,34,43,44,-45,34,44,78
IWF Masters Championships,2021-05-21,female,Alison Mcdonald,43.55,22,-23,-23,-27,-27,27,22,27,49
IWF Masters Championships,2021-05-21,female,Mary Macken,49.00,38,41,44,-49,49,-52,44,49,93
IWF Masters Championships,2021-05-21,female,Joanne Vincentbarwood,49.00,25,-26,-26,32,-34,-34,25,32,57
IWF Masters Championships,2021-05-21,female,Monika Endres,55.00,50,53,-56,-63,63,-67,53,63,116
IWF Masters Championships,2021-05-21,female,Jen Martin,54.74,46,-49,49,59,-63,63,49,63,112
IWF Masters Championships,2021-05-21,female,Christine Human,54.56,29,31,-33,40,43,45,31,45,76
IWF Masters Championships,2021-05-21,female,Maria Paradisis,58.20,67,70,-72,78,80,82,70,82,152
IWF Masters Championships,2021-05-21,female,Tammy Hicks,61.90,-65,-65,65,-79,79,-82,65,79,144
IWF Masters Championships,2021-05-21,female,Sarah Esteban,62.55,47,50,52,71,74,76,52,76,128
IWF Masters Championships,2021-05-21,female,Kate Mcrae Stewart,68.20,55,-58,-58,-65,65,-70,55,65,120
IWF Masters Championships,2021-05-21,female,Cristina Capratsis,70.25,38,40,-44,50,53,56,40,56,96
IWF Masters Championships,2021-05-21,female,Sue Rennett,74.90,43,45,-47,57,60,-63,45,60,105
IWF Masters Championships,2021-05-21,female,Nicole Swanson,78.10,45,48,50,55,58,60,50,60,110
IWF Masters Championships,2021-05-21,female,Linda Eades,79.82,44,47,-49,56,59,-61,47,59,106
IWF Masters Championships,2021-05-21,female,Kath Olechowski,81.65,80,-83,83,102,105,-107,83,105,188
IWF Masters Championships,2021-05-21,female,Bobbie-Jane Souter,81.28,42,45,48,60,-65,65,48,65,113
IWF Masters Championships,2021-05-21,female,Gemma O'Brien,92.70,55,-60,60,75,80,81,60,81,141
IWF Masters Championships,2021-05-21,female,Ashlee Robertson,92.70,55,59,-62,75,80,-83,59,80,139
IWF Masters Championships,2021-05-21,male,Michael Pickrell,65.40,76,79,-82,102,106,-109,79,106,185
IWF Masters Championships,2021-05-21,male,Lionel Isaac,66.45,54,57,59,74,77,80,59,80,139
IWF Masters Championships,2021-05-21,male,Constantine Vasiliades,72.86,90,95,-100,-115,115,-121,95,115,210
IWF Masters Championships,2021-05-21,male,Bouachanh Thongvilu,73.00,70,-74,74,85,-90,90,74,90,164
IWF Masters Championships,2021-05-21,male,Justin Connor,86.40,95,-105,-105,130,-141,-141,95,130,225
IWF Masters Championships,2021-05-21,male,Andrew Stavroulakis,87.20,80,85,-90,100,108,115,85,115,200
IWF Masters Championships,2021-05-21,male,Nicolas Warren,94.66,100,105,110,125,130,135,110,135,245
IWF Masters Championships,2021-05-21,male,Demogene Smith,89.70,100,105,110,120,127,-128,110,127,237
IWF Masters Championships,2021-05-21,male,Anthony Schultz,95.85,88,92,96,115,120,125,96,125,221
IWF Masters Championships,2021-05-21,male,Matt Meddows,98.88,97,-101,-101,125,131,-135,97,131,228
IWF Masters Championships,2021-05-21,male,Derek D'Mellow,97.55,55,60,65,85,88,-95,65,88,153
IWF Masters Championships,2021-05-21,male,Ignatius Papenga,101.10,-107,-107,-107,145,-147,-147,0,145,0
IWF Masters Championships,2021-05-21,male,Drew Mctavish,105.10,100,105,-110,115,-120,120,105,120,225
IWF Masters Championships,2021-05-21,male,Stephen Craven,112.40,80,86,-90,100,110,-112,86,110,196
