event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Memorial Open Competition,2019-12-07,female,Alison Mcdonald,44.24,21,-22,22,24,26,-28,22,26,48,AUS
Memorial Open Competition,2019-12-07,female,Katie Yilmaz,48.14,45,48,-52,62,65,68,48,68,116,AUS
Memorial Open Competition,2019-12-07,female,Verity Park,58.98,58,-63,65,-85,85,-94,65,85,150,AUS
Memorial Open Competition,2019-12-07,female,Sabrina Baumann,57.66,49,52,-55,61,64,-66,52,64,116,AUS
Memorial Open Competition,2019-12-07,female,Keely Barakat,63.24,74,-76,77,84,-88,-91,77,84,161,AUS
Memorial Open Competition,2019-12-07,female,Emily Beaumont,62.42,55,60,63,70,75,-80,63,75,138,AUS
Memorial Open Competition,2019-12-07,female,Tyneesha Kerr,63.96,50,53,-57,65,-68,68,53,68,121,AUS
Memorial Open Competition,2019-12-07,female,Sarah Esteban,63.32,42,46,50,62,66,70,50,70,120,AUS
Memorial Open Competition,2019-12-07,female,Katrina Gini,67.74,62,-66,-66,84,87,-90,62,87,149,AUS
Memorial Open Competition,2019-12-07,female,Vanessa Kerr,67.52,62,65,-67,83,-87,-88,65,83,148,AUS
Memorial Open Competition,2019-12-07,female,Gabriella Penna,70.30,50,55,60,70,-75,76,60,76,136,AUS
Memorial Open Competition,2019-12-07,female,Claire Wilson,68.60,45,-48,-48,55,60,-63,45,60,105,AUS
Memorial Open Competition,2019-12-07,female,Emily Wilson,65.92,40,43,45,52,56,60,45,60,105,AUS
Memorial Open Competition,2019-12-07,female,Mee Jin Roberts,74.02,42,47,52,60,65,70,52,70,122,AUS
Memorial Open Competition,2019-12-07,female,Cristina Capratsis,71.32,32,37,-41,40,45,50,37,50,87,AUS
Memorial Open Competition,2019-12-07,female,Jodi Baker,80.36,45,48,-51,53,57,-60,48,57,105,AUS
Memorial Open Competition,2019-12-07,female,Annalisa Solinas,82.80,40,44,47,53,57,60,47,60,107,AUS
Memorial Open Competition,2019-12-07,female,Stephanie Scigala,125.98,62,67,70,82,-87,-88,70,82,152,AUS
Memorial Open Competition,2019-12-07,female,Dimitra Tsiliaskopoulos,88.70,-79,-83,-83,,,,0,0,0,AUS
Memorial Open Competition,2019-12-07,male,Harrison Nguyen,54.00,62,-65,65,83,-87,87,65,87,152,AUS
Memorial Open Competition,2019-12-07,male,Gordon Fu,66.30,93,-97,-100,113,117,120,93,120,213,AUS
Memorial Open Competition,2019-12-07,male,Joshua Doyle,66.40,66,69,-72,82,86,90,69,90,159,AUS
Memorial Open Competition,2019-12-07,male,Yakov Shneidman,62.00,43,-48,48,58,62,-65,48,62,110,AUS
Memorial Open Competition,2019-12-07,male,Gordon Butt,72.90,93,-97,-101,-115,115,118,93,118,211,AUS
Memorial Open Competition,2019-12-07,male,Vincent Wang,69.88,74,78,81,98,-102,102,81,102,183,AUS
Memorial Open Competition,2019-12-07,male,Bouachanh Thongvilu,72.84,70,74,-77,85,-91,91,74,91,165,AUS
Memorial Open Competition,2019-12-07,male,Ricky Huang,77.84,100,104,108,130,-135,-135,108,130,238,AUS
Memorial Open Competition,2019-12-07,male,Leo Manny,80.64,100,105,-110,125,130,-135,105,130,235,AUS
Memorial Open Competition,2019-12-07,male,Ronan Maguero,80.88,93,96,-100,122,126,-130,96,126,222,AUS
Memorial Open Competition,2019-12-07,male,Michael Bettencourt Rodrigues,80.44,78,-83,-83,105,110,-115,78,110,188,AUS
Memorial Open Competition,2019-12-07,male,James Pelham,76.52,75,-78,78,100,105,108,78,108,186,AUS
Memorial Open Competition,2019-12-07,male,Michael Lane,87.10,130,-135,-135,-166,166,-171,130,166,296,AUS
Memorial Open Competition,2019-12-07,male,Martin-Khai Tran,84.00,95,-100,100,115,120,125,100,125,225,AUS
Memorial Open Competition,2019-12-07,male,Bryan Ngo,88.40,85,89,91,100,-105,107,91,107,198,AUS
Memorial Open Competition,2019-12-07,male,Richard Lam,82.26,83,87,-90,100,105,-112,87,105,192,AUS
Memorial Open Competition,2019-12-07,male,Corey Hele,88.64,-95,-95,-97,,,,0,0,0,AUS
Memorial Open Competition,2019-12-07,male,Paul Con,93.74,90,95,98,115,122,127,98,127,225,AUS
Memorial Open Competition,2019-12-07,male,Troy Mcnamara,98.68,95,100,105,118,124,-131,105,124,229,AUS
Memorial Open Competition,2019-12-07,male,Luke Manny,96.26,100,105,108,120,-125,-130,108,120,228,AUS
Memorial Open Competition,2019-12-07,male,Dan Mcgavern,98.78,95,-100,-103,115,120,-126,95,120,215,AUS
Memorial Open Competition,2019-12-07,male,Harrison Rourke,99.80,68,72,75,90,97,101,75,101,176,AUS
Memorial Open Competition,2019-12-07,male,Edward Mandla,101.22,70,-75,-75,95,-100,-102,70,95,165,AUS
Memorial Open Competition,2019-12-07,male,Chris Kang,102.38,-100,-100,100,110,115,120,100,120,220,AUS
Memorial Open Competition,2019-12-07,male,Steven Reitano,103.30,-65,65,-72,95,-105,-112,65,95,160,AUS
Memorial Open Competition,2019-12-07,male,Haroon Shukat,118.60,140,-145,145,-165,165,,145,165,310,AUS
Memorial Open Competition,2019-12-07,male,Mathew Seeto,118.38,92,96,-100,104,110,-118,96,110,206,AUS
Memorial Open Competition,2019-12-07,male,Stephen Craven,115.76,77,81,84,97,101,105,84,105,189,AUS
