event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NSW Weightlifting Club Competition,2017-08-26,female,Keely Barakat,61.95,63,67,70,77,-81,-81,70,77,147,AUS
NSW Weightlifting Club Competition,2017-08-26,female,Gabrielle Clyburn,62.45,-70,-70,-70,,,,0,0,0,AUS
NSW Weightlifting Club Competition,2017-08-26,female,Leah Poulton,84.60,77,-80,80,100,103,105,80,105,185,AUS
NSW Weightlifting Club Competition,2017-08-26,female,Dimitra Tsiliaskopoulos,85.60,77,-80,-81,97,-100,-101,77,97,174,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Yannick Mifsud,68.85,100,105,-110,-125,125,-130,105,125,230,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Leo Manny,76.25,95,-100,100,115,120,-125,100,120,220,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Joseph Campbell,84.20,-100,102,105,-136,136,-140,105,136,241,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Dean Coulter,80.60,72,76,80,92,98,105,80,105,185,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Tyson Hudson,89.15,95,-100,102,120,125,130,102,130,232,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Haroon Shukat,109.00,130,135,140,165,-170,-170,140,165,305,AUS
NSW Weightlifting Club Competition,2017-08-26,male,Mauricio Mena,112.10,65,72,80,95,105,-110,80,105,185,AUS
