event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Zoe Christie,44.64,32,35,40,42,45,-50,40,45,85,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Chloe Perkins,53.74,56,59,62,-77,-77,77,62,77,139,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Sarah Hearn,58.78,-64,-64,64,82,85,-88,64,85,149,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Nya Hayman,63.54,65,69,72,81,-85,85,72,85,157,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Eden Gorrel,63.60,49,52,-56,72,-75,75,52,75,127,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Katelin Van Zyl,68.20,67,71,74,89,93,96,74,96,170,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Emma Garrett,70.59,48,-51,-52,60,64,67,48,67,115,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Bonney Douglas,69.12,30,32,35,42,45,48,35,48,83,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,female,Jessica Watzek,74.14,65,-69,-69,86,90,-93,65,90,155,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Joshua Strange,59.92,76,80,82,107,110,112,82,112,194,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Kevin Leong,64.64,78,82,-85,98,102,105,82,105,187,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Joshua Swanepoel,71.82,73,77,81,100,105,108,81,108,189,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Chris Wilson,72.68,77,81,-85,95,100,105,81,105,186,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Samuel Cartwright,72.08,60,-64,64,75,80,84,64,84,148,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Jackson Dahlenburg,94.26,105,110,115,135,140,-145,115,140,255,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Ahrie Jerred,94.18,107,-111,-111,130,135,-138,107,135,242,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Tallis Nunn,94.54,88,92,96,120,125,130,96,130,226,AUS
CWC - Physique Science QWA Club Challenge - Round 1,2022-01-29,male,Bank Chotrueng,94.96,90,95,100,115,120,125,100,125,225,AUS
