event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Berserker Club Competition,2021-05-22,female,Olivia Coppin,57.85,25,27,29,35,37,-39,29,37,66
Berserker Club Competition,2021-05-22,female,Katie Harrold,68.90,50,53,56,-70,72,75,56,75,131
Berserker Club Competition,2021-05-22,female,Sally Wells,65.70,50,53,55,70,73,-75,55,73,128
Berserker Club Competition,2021-05-22,female,Darcie Ferguson,70.60,48,50,-52,-65,65,68,50,68,118
Berserker Club Competition,2021-05-22,female,Megan Harris,73.25,31,-33,33,40,43,-46,33,43,76
Berserker Club Competition,2021-05-22,female,Meagan Wellby,78.30,65,68,70,85,88,92,70,92,162
Berserker Club Competition,2021-05-22,male,Ryan Wells,46.30,25,27,-30,35,-37,38,27,38,65
Berserker Club Competition,2021-05-22,male,Denver Khoo,72.70,75,82,87,95,100,107,87,107,194
Berserker Club Competition,2021-05-22,male,Craig Hamilton,80.80,47,50,-53,67,70,73,50,73,123
Berserker Club Competition,2021-05-22,male,Luke Wells,88.30,73,77,-80,97,103,-106,77,103,180
Berserker Club Competition,2021-05-22,male,Dillon Fisler,98.20,106,110,115,135,-140,140,115,140,255
