event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
VWA Open,2017-07-29,female,Monika Endres,49.31,45,48,51,60,63,66,51,66,117,AUS
VWA Open,2017-07-29,female,Bernadette Kinnane,50.80,32,35,-37,42,-45,45,35,45,80,AUS
VWA Open,2017-07-29,female,Kaitlyn Duignan,57.27,55,58,-61,76,79,-82,58,79,137,AUS
VWA Open,2017-07-29,female,Tamara Bozovic,55.55,50,-53,53,63,-65,-65,53,63,116,AUS
VWA Open,2017-07-29,female,Maria Bakas,56.05,30,34,-38,40,45,50,34,50,84,AUS
VWA Open,2017-07-29,female,Samantha Mcconnell,61.79,58,63,66,70,75,-78,66,75,141,AUS
VWA Open,2017-07-29,female,Hanna Wyatt,59.89,49,52,55,-61,63,-67,55,63,118,AUS
VWA Open,2017-07-29,female,Ada Lacey,60.37,45,48,50,60,64,-66,50,64,114,AUS
VWA Open,2017-07-29,female,Sarah Caruana,61.04,55,58,-60,70,75,-80,58,75,133,AUS
VWA Open,2017-07-29,female,Nicky Cummins,68.50,68,71,-73,84,-86,86,71,86,157,AUS
VWA Open,2017-07-29,female,Jessica Berry,65.38,65,-68,-70,85,88,-90,65,88,153,AUS
VWA Open,2017-07-29,female,Lydia Mccloskey,63.87,57,60,-62,70,-73,-73,60,70,130,AUS
VWA Open,2017-07-29,female,Alana Lewis,67.46,45,50,53,60,65,68,53,68,121,AUS
VWA Open,2017-07-29,female,Niamh Meagher,64.51,45,48,-50,60,-65,-65,48,60,108,AUS
VWA Open,2017-07-29,female,Cassandra Soubra,65.60,37,40,-43,51,54,56,40,56,96,AUS
VWA Open,2017-07-29,female,Prue Delalande,67.65,70,-74,74,-80,-80,-80,74,0,0,AUS
VWA Open,2017-07-29,female,Clare Cherry,74.62,73,77,-80,94,-98,100,77,100,177,AUS
VWA Open,2017-07-29,female,Teagan Newman,72.14,63,-65,-65,70,74,-76,63,74,137,AUS
VWA Open,2017-07-29,female,Susannah Reid,74.30,57,-60,60,75,-78,-78,60,75,135,AUS
VWA Open,2017-07-29,female,Sarah Tanner,73.90,-60,-60,60,70,73,-75,60,73,133,AUS
VWA Open,2017-07-29,female,Sarah Hart,69.47,-53,53,57,68,-72,-72,57,68,125,AUS
VWA Open,2017-07-29,female,Sherri Stephen,76.44,50,55,60,70,75,80,60,80,140,AUS
VWA Open,2017-07-29,male,James Delaney,68.65,105,110,-114,138,-143,145,110,145,255,AUS
VWA Open,2017-07-29,male,Simon Obery,68.36,91,-96,-96,121,-126,-126,91,121,212,AUS
VWA Open,2017-07-29,male,Tony Sok,65.84,70,75,-80,91,95,100,75,100,175,AUS
VWA Open,2017-07-29,male,Simon Vuong,63.78,70,73,-75,87,91,95,73,95,168,AUS
VWA Open,2017-07-29,male,Chris Ackland,75.80,97,101,104,122,127,-132,104,127,231,AUS
VWA Open,2017-07-29,male,Samuel Katz,73.80,-90,90,-95,110,115,-120,90,115,205,AUS
VWA Open,2017-07-29,male,Derek Thai,72.75,61,66,70,80,85,-90,70,85,155,AUS
VWA Open,2017-07-29,male,Goran Vukojevic,76.54,50,55,-60,68,-73,73,55,73,128,AUS
VWA Open,2017-07-29,male,Matthew Pit,84.20,118,-123,-123,148,155,160,118,160,278,AUS
VWA Open,2017-07-29,male,Daniel Katz,84.69,120,125,-130,145,150,-157,125,150,275,AUS
VWA Open,2017-07-29,male,Matthew Porter-Hope,84.45,-100,105,110,132,-138,-142,110,132,242,AUS
VWA Open,2017-07-29,male,Cameron Kuszla,80.44,102,108,111,122,126,130,111,130,241,AUS
VWA Open,2017-07-29,male,Joshua Ward,82.68,95,100,105,120,125,130,105,130,235,AUS
VWA Open,2017-07-29,male,Sam Storer,78.57,91,95,-100,120,125,-128,95,125,220,AUS
VWA Open,2017-07-29,male,Matthew Carlon,82.90,85,-90,-90,105,-110,117,85,117,202,AUS
VWA Open,2017-07-29,male,Konrad Cybulski,79.08,82,87,-91,-110,-110,110,87,110,197,AUS
VWA Open,2017-07-29,male,Michael Torriero,84.54,50,55,60,65,70,-75,60,70,130,AUS
VWA Open,2017-07-29,male,Milos Trnka,88.44,40,43,-45,50,55,-57,43,55,98,AUS
VWA Open,2017-07-29,male,David Chen,91.95,90,95,-98,115,120,125,95,125,220,AUS
VWA Open,2017-07-29,male,Alan Xue,89.02,85,90,-94,110,-115,115,90,115,205,AUS
VWA Open,2017-07-29,male,Liam Larkins,88.00,120,-125,-125,,,,120,0,0,AUS
VWA Open,2017-07-29,male,Rosson Cacencu,90.33,88,-93,,,,,88,0,0,AUS
VWA Open,2017-07-29,male,Michael Percy,99.65,85,-90,,102,,,85,102,187,AUS
VWA Open,2017-07-29,male,Zac Grgurevic,104.88,140,-145,-145,175,-180,180,140,180,320,AUS
VWA Open,2017-07-29,male,Aaron Phillips,119.82,75,80,-85,115,120,-125,80,120,200,AUS
VWA Open,2017-07-29,male,Shaun Fielder,144.11,70,-73,-76,90,97,101,70,101,171,AUS
VWA Open,2017-07-29,male,James Holt,110.98,40,45,,60,70,-75,45,70,115,AUS
VWA Open,2017-07-29,male,Joshua Quinn,107.65,-125,125,-130,-160,,,125,0,0,AUS
VWA Open,2017-07-29,male,Edward Plowman,121.77,,,,,,,0,0,0,AUS
