event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Grace Tjerkstra,54.00,62,-65,65,-73,-77,77,65,77,142,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Isabella Woodhouse,54.65,58,60,-62,68,-72,-72,60,68,128,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Junko Matsuzaki,51.35,28,-30,30,38,-40,40,30,40,70,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Alyce Persich,58.25,-58,-58,59,68,-69,69,59,69,128,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Ebony Goldfinch,56.55,42,45,48,50,55,58,48,58,106,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Racheal Hin,57.95,25,28,30,35,38,41,30,41,71,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Irmuun Tulga,57.70,25,27,30,35,39,-42,30,39,69,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Emily Cook,57.05,50,53,55,-68,-70,-70,55,0,0,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Charlotte Hoy,62.60,39,42,45,46,50,54,45,54,99,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Haf Henderson,59.90,25,27,-30,35,38,-41,27,38,65,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Tanaya Quinsee,65.05,78,-80,-80,87,91,-93,78,91,169,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Natasha Bernard,67.20,58,61,-64,76,79,82,61,82,143,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Sharni Quinsee,64.20,60,63,65,68,71,73,65,73,138,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Joanna Harmer,69.10,56,58,-60,72,76,-79,58,76,134,AUS
"WA End of Year Open, School Sports & Awards",2021-12-12,female,Karma Lord,67.00,55,59,-62,69,72,-75,59,72,131,AUS
