event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Chelsea Nicoll,51.90,53,56,-58,60,-65,65,56,65,121,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Kim Walker,51.60,31,33,-35,41,43,45,33,45,78,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Julie Davis,54.00,25,26,27,34,36,37,27,37,64,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Diana Loy,58.45,-34,34,40,58,61,-63,40,61,101,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Sonia Stenhouse,55.60,33,36,40,44,47,50,40,50,90,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Maree Davidson,57.55,29,31,-33,39,42,44,31,44,75,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Colleen Duplock,58.40,28,29,30,32,34,-35,30,34,64,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Paige Neal,63.60,55,57,60,72,75,77,60,77,137,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Rebecca Chidlow,59.45,51,54,57,67,71,-74,57,71,128,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Deborah Hastings,63.45,42,45,-48,61,64,-67,45,64,109,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Amity Salisbury,60.95,44,-48,-48,49,53,-56,44,53,97,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Daniela Schwarz,62.10,38,-42,-43,50,-53,53,38,53,91,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Ellen Willis,59.85,34,36,38,48,50,52,38,52,90,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Michelle Kinnane,63.00,33,35,-37,43,-45,-45,35,43,78,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Christine Reid,69.60,-78,78,83,94,98,-101,83,98,181,AUS
2020 Qld Masters Championships & Oly in the Outback Open,2020-03-14,female,Bronwyn Graham,70.15,55,59,-63,78,80,83,59,83,142,AUS
