event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Chelsea Nicoll,46.20,35,37,39,46,48,-50,39,48,87,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Caitlin Wadwell,43.80,-24,24,28,37,41,-45,28,41,69,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Anika Wilson,47.70,15,-18,20,25,28,-30,20,28,48,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Lillian Poles,47.70,18,21,23,20,21,25,23,25,48,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Emily Poles,37.10,15,16,17,-19,-19,21,17,21,38,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Lily Wilson,57.50,35,38,40,45,48,50,40,50,90,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Chelsea Freier,54.90,-34,34,38,44,48,-50,38,48,86,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Alana Evans,57.70,27,30,33,43,47,-50,33,47,80,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Olivia Lohan,63.00,54,57,59,71,74,-76,59,74,133,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Ella Jones,61.60,41,-44,-44,48,-52,53,41,53,94,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Leah Hannant,63.00,22,24,27,27,30,-32,27,30,57,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Emma Zawila,68.30,54,57,60,70,74,77,60,77,137,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Abbey Hughes,67.60,54,58,-61,64,-70,-70,58,64,122,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Emily Robinson,69.00,36,38,40,46,48,49,40,49,89,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Deanne Elliott,89.80,44,47,-50,57,60,-63,47,60,107,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Bronwyn Dunne,90.20,40,-43,43,55,60,63,43,63,106,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Mackenzie Coglan-Rochfort,97.20,-40,40,44,60,-64,-64,44,60,104,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Tamika Solofa,81.00,22,26,30,-37,37,42,30,42,72,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Tiarnah Jennings,90.10,24,28,31,33,37,40,31,40,71,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Harrison Gaffney,55.80,62,67,72,82,87,92,72,92,164,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Cooper Wilson,50.70,45,47,49,60,63,66,49,66,115,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Dillon Fisler,54.70,39,43,47,46,51,56,47,56,103,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Jett Gaffney,40.20,32,36,39,44,48,50,39,50,89,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Declan Galligan,36.90,24,26,30,30,33,36,30,36,66,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Lochlan Roberts,33.80,24,-27,27,31,-36,36,27,36,63,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Samuel Toth,60.30,48,52,-56,65,67,70,52,70,122,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Ruben Jacobs,62.00,40,45,-50,50,-55,55,45,55,100,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,James Norman,68.40,96,100,102,124,128,130,102,130,232,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Joshua Mak,67.30,70,74,78,92,96,100,78,100,178,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,James Catlow-Elliott,65.90,62,66,70,75,80,85,70,85,155,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Tom Friedlander,66.20,57,61,64,78,83,88,64,88,152,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Corey Smith,67.80,-61,63,66,-80,81,86,66,86,152,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,William Kearney,65.10,52,55,58,75,77,80,58,80,138,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Leo Lark,76.30,110,-115,115,145,150,155,115,155,270,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Christopher Lai,72.50,80,84,-87,113,115,-120,84,115,199,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Ben Ward,75.20,68,73,77,85,92,96,77,96,173,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Ethan Catlow-Elliott,71.20,62,-66,68,80,-85,-85,68,80,148,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Lincoln Clapham,80.70,48,52,55,65,69,75,55,75,130,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Samuel Challen,77.60,42,47,52,57,-62,-62,52,57,109,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Jakob Daniels,84.70,-108,108,112,-148,-148,-154,112,0,0,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Shane Wagner,92.90,118,124,-127,146,152,-158,124,152,276,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Angus Loft,97.70,20,23,25,25,29,32,25,32,57,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Jordan Evans,126.50,92,96,100,-126,126,131,100,131,231,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,female,Mason Catlow-Elliott,38.50,15,16,17,15,18,-21,17,18,35,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Tashaun Solofa,53.70,15,17,19,17,20,23,19,23,42,AUS
AlphaFit Qld U15 & Youth Championships,2015-04-25,male,Marcus Lewis,110.40,113,116,120,137,144,,120,144,264,AUS
