event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Jia Lee,51.40,40,-42,-42,46,49,-51,40,49,89,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Olivia D'souza,52.90,32,34,36,46,48,50,36,50,86,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Laya Dunn,57.70,45,48,-52,55,60,-63,48,60,108,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Kenyah Lawler,60.50,45,55,60,60,70,-75,60,70,130,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Louisa Hou,66.40,57,62,65,75,-82,-88,65,75,140,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Alana Edwards,67.30,-51,52,-55,-60,63,-65,52,63,115,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Marilyn Dobe,65.40,40,-43,43,55,60,66,43,66,109,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Kateland Walsh,67.50,40,45,-53,50,58,-65,45,58,103,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Kiarah Dobb,65.20,33,38,42,40,45,-50,42,45,87,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Clare Carey,69.40,48,52,55,68,72,76,55,76,131,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Kerryn Dawson,69.50,40,44,46,57,-60,60,46,60,106,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,female,Jennifer Zeven,97.80,40,45,-50,72,75,-76,45,75,120,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Kanakai Reibelt,43.70,26,29,-35,38,40,-43,29,40,69,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Liam Tredgold,69.00,63,68,-72,80,-85,85,68,85,153,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Sean Teasdale,76.50,103,108,-111,125,-132,-132,108,125,233,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Mark Roberts,74.10,90,96,-102,-109,111,115,90,115,205,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Chris Pricsina,75.30,90,-95,-96,105,-110,-111,90,105,195,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Adam Edwards,75.60,71,76,-82,90,100,105,76,105,181,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Kai Longley,75.30,67,71,73,90,94,-100,73,94,167,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Robert Bartlett,90.90,101,107,110,-140,147,-152,110,147,257,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Andrew Kershaw,91.90,-82,-82,82,110,-115,120,82,120,202,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Jen Deng Lee,91.00,65,70,80,85,92,97,80,97,177,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Jay Fewson,97.00,-100,-103,103,136,143,151,103,151,254,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Gerard Viccars,96.30,103,107,112,125,-131,132,112,132,244,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Andrew Phillips,71.60,55,-58,-58,-75,75,76,55,76,131,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,John Preston,68.70,32,35,-37,42,46,-50,35,46,81,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Paul Teede,84.40,83,90,93,114,118,-122,93,118,211,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,George Hardiman,92.00,35,40,45,50,55,60,45,60,105,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Mark Stubbs,100.40,105,-111,-112,125,132,-137,105,132,237,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,Samuel Dobb,100.20,70,75,80,80,,,80,80,160,AUS
Weightlifting ACT State Meet #2 2015,2015-04-19,male,John Reynolds,101.60,50,52,53,66,70,-72,53,70,123,AUS
