event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,female,Rachel Mcclure,57.30,42,45,48,54,58,-60,48,58,106,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,female,Debra Leong,54.85,-30,30,35,45,50,-55,35,50,85,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,female,Natasha Wills,63.00,-37,37,-41,55,60,-62,37,60,97,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,female,Asako Ono,67.35,42,46,48,62,65,68,48,68,116,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,female,Kiera Buchanan,65.10,-45,45,47,60,65,67,47,67,114,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,female,Jennifer Griffin,91.90,47,52,55,57,62,66,55,66,121,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Zane Ramdhani,76.45,-85,85,91,107,112,117,91,117,208,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Morgan Michel,70.75,85,-90,-90,-100,-100,105,85,105,190,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Ben Browne,72.15,-75,75,80,95,100,105,80,105,185,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Adam Parker,75.40,72,77,-82,90,95,-100,77,95,172,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Alex Hepple,85.00,85,92,-100,100,-107,107,92,107,199,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Brandon Ramscar,81.35,45,50,-57,65,-70,-73,50,65,115,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Andrew Badger,81.60,-73,-75,-75,97,100,102,0,102,0,AUS
JME Qld Club Challenge Round 2 – Brisbane Barbell,2015-05-23,male,Matthew Lydement,101.45,90,95,100,110,115,120,100,120,220,AUS
