event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Julie Davis,54.55,27,28,-29,37,-39,-39,28,37,65,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Justine Winchester,50.70,24,-25,25,32,34,35,25,35,60,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Colleen Duplock,57.05,26,27,-29,34,36,38,27,38,65,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Logan Poon,68.10,55,58,-61,65,68,72,58,72,130,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Sue Cox,66.25,37,38,39,46,47,48,39,48,87,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Linda Skerman,67.60,25,28,-31,35,40,45,28,45,73,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Alison Cranston,71.15,52,56,-60,72,77,-81,56,77,133,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,female,Trish Levy,76.80,25,27,30,35,40,42,30,42,72,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,male,Eric Lam,64.70,-70,72,-77,90,95,-103,72,95,167,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,male,Ben Paris,67.60,70,77,85,95,100,105,85,105,190,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,male,Clint Winchester,68.10,54,57,60,74,78,81,60,81,141,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,male,Dugal Smith,91.90,70,77,-85,100,-110,-115,77,100,177,AUS
JME Qld Club Challenge Round 2 – North Brisbane,2017-06-17,male,Andrew Flamank,91.50,60,63,65,85,90,95,65,95,160,AUS
