event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Cliff Joyce Memorial,2017-08-19,female,Hannah Pickrell,47.80,22,24,26,34,36,38,26,38,64
Cliff Joyce Memorial,2017-08-19,female,Nicolette Dunstone,53.95,43,-47,-47,62,-65,-65,43,62,105
Cliff Joyce Memorial,2017-08-19,female,Shayne Dumka,56.55,-36,36,39,-43,48,-50,39,48,87
Cliff Joyce Memorial,2017-08-19,female,Tamara Coleman,58.10,54,-57,57,72,-76,-76,57,72,129
Cliff Joyce Memorial,2017-08-19,female,Hannah Spinks,60.90,48,51,53,62,65,68,53,68,121
Cliff Joyce Memorial,2017-08-19,female,Haylee Walker,61.65,45,48,-50,50,52,54,48,54,102
Cliff Joyce Memorial,2017-08-19,female,Mya Venn,62.90,25,28,31,37,40,42,31,42,73
Cliff Joyce Memorial,2017-08-19,female,Monique Booth,58.50,28,31,-34,38,41,-44,31,41,72
Cliff Joyce Memorial,2017-08-19,female,Melissa Pearce,67.25,40,-44,44,59,-62,-62,44,59,103
Cliff Joyce Memorial,2017-08-19,female,Bianca Holloway,68.00,31,35,38,44,-48,-50,38,44,82
Cliff Joyce Memorial,2017-08-19,female,Camilla Fogagnolo,71.80,80,-83,85,100,105,110,85,110,195
Cliff Joyce Memorial,2017-08-19,female,Olivia Nugent,71.20,50,55,60,70,-75,75,60,75,135
Cliff Joyce Memorial,2017-08-19,female,Kiana Lambie,72.70,54,57,-59,-62,62,-65,57,62,119
Cliff Joyce Memorial,2017-08-19,female,Melanie Richardson,85.95,39,41,43,57,60,-62,43,60,103
Cliff Joyce Memorial,2017-08-19,female,Kaitlyn Fassina,89.65,91,96,100,110,115,120,100,120,220
Cliff Joyce Memorial,2017-08-19,female,Telyshia Jones,85.45,55,-58,58,61,65,68,58,68,126
Cliff Joyce Memorial,2017-08-19,female,Abbey Boon,80.15,45,-50,-50,50,-55,-55,45,50,95
Cliff Joyce Memorial,2017-08-19,female,Danica Holloway,77.10,34,37,38,39,43,46,38,46,84
Cliff Joyce Memorial,2017-08-19,female,Jewel Banks,76.70,32,35,-38,42,45,48,35,48,83
Cliff Joyce Memorial,2017-08-19,female,Alison Baker,79.80,50,-55,55,0,0,0,55,0,0
Cliff Joyce Memorial,2017-08-19,female,Katie Marriner,82.35,0,0,0,0,0,0,0,0,0
Cliff Joyce Memorial,2017-08-19,female,Annaliese Owen,93.75,53,-56,-56,63,67,-71,53,67,120
Cliff Joyce Memorial,2017-08-19,male,Michael Pickrell,63.75,73,-77,-77,93,97,101,73,101,174
Cliff Joyce Memorial,2017-08-19,male,Dominic Newman,64.15,50,53,-55,-60,60,64,53,64,117
Cliff Joyce Memorial,2017-08-19,male,Josh Shepherd,75.90,75,-79,-81,90,-95,97,75,97,172
Cliff Joyce Memorial,2017-08-19,male,Sean Fitzgerald,79.10,112,-116,116,142,146,150,116,150,266
Cliff Joyce Memorial,2017-08-19,male,Lincoln Bowman,83.40,105,110,-114,140,145,-150,110,145,255
Cliff Joyce Memorial,2017-08-19,male,Toby Burgess,83.75,73,77,80,106,-111,111,80,111,191
Cliff Joyce Memorial,2017-08-19,male,Alex Placogiannakis,81.60,-70,70,-73,92,96,-100,70,96,166
Cliff Joyce Memorial,2017-08-19,male,Lucas Amicosante,84.10,42,45,-48,55,60,-64,45,60,105
Cliff Joyce Memorial,2017-08-19,male,Roman Kisselev,83.40,75,85,90,100,105,-110,90,105,195
Cliff Joyce Memorial,2017-08-19,male,Tim Sumpton,86.60,-77,77,82,97,104,-107,82,104,186
Cliff Joyce Memorial,2017-08-19,male,Warren Seen,82.10,75,78,-80,90,95,-100,78,95,173
Cliff Joyce Memorial,2017-08-19,male,Ben Castle,92.35,100,105,108,130,-136,136,108,136,244
Cliff Joyce Memorial,2017-08-19,male,Will Portlock,91.65,84,87,-90,110,114,-118,87,114,201
Cliff Joyce Memorial,2017-08-19,male,Charlie Portlock,85.65,60,65,-70,-85,85,-90,65,85,150
Cliff Joyce Memorial,2017-08-19,male,Beowulf Hamilton,85.55,48,-51,51,61,67,73,51,73,124
Cliff Joyce Memorial,2017-08-19,male,Nathan O'Halloran,100.80,84,-87,-87,110,114,-117,84,114,198
Cliff Joyce Memorial,2017-08-19,male,Sjon Enkelaar Sweetman,101.15,80,-85,-87,110,115,120,80,120,200
Cliff Joyce Memorial,2017-08-19,male,Jordan Gotts,97.50,75,80,85,95,100,105,85,105,190
Cliff Joyce Memorial,2017-08-19,male,Ryan Dudman,104.80,68,72,-75,100,105,110,72,110,182
Cliff Joyce Memorial,2017-08-19,male,Mick Burton,102.70,85,-90,90,115,123,-129,90,123,213
Cliff Joyce Memorial,2017-08-19,male,Andrew Bailey,122.00,65,-68,-68,84,88,-90,65,88,153
