event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
President's Cup Round 2,2013-03-16,female,Charrae Myers,48.66,35,38,-41,44,48,50,38,50,88,AUS
President's Cup Round 2,2013-03-16,female,Sophie Cowen,55.34,-45,45,47,60,63,-65,47,63,110,AUS
President's Cup Round 2,2013-03-16,female,Telyshia Jones,53.54,22,25,28,26,30,33,28,33,61,AUS
President's Cup Round 2,2013-03-16,male,Dominic Newman,52.62,17,-20,20,27,30,32,20,32,52,AUS
President's Cup Round 2,2013-03-16,male,David Bannister,64.62,82,87,93,-103,103,107,93,107,200,AUS
President's Cup Round 2,2013-03-16,male,Peter Gordon,76.94,57,-60,60,80,-83,83,60,83,143,AUS
President's Cup Round 2,2013-03-16,male,Kasey Canham,73.36,45,48,51,55,-58,58,51,58,109,AUS
President's Cup Round 2,2013-03-16,male,Jake Moore,83.28,85,90,-93,103,107,-110,90,107,197,AUS
President's Cup Round 2,2013-03-16,male,Bradley Groom,79.66,85,-90,-90,105,-110,111,85,111,196,AUS
President's Cup Round 2,2013-03-16,male,Micah Wade,78.16,65,70,-73,96,101,104,70,104,174,AUS
President's Cup Round 2,2013-03-16,male,Andrew Lonergan,83.90,60,63,66,80,85,-90,66,85,151,AUS
President's Cup Round 2,2013-03-16,male,Dylan Oakford,91.64,90,-95,-100,115,120,-125,90,120,210,AUS
President's Cup Round 2,2013-03-16,male,Scott Taylor,104.96,-100,100,105,130,135,-140,105,135,240,AUS
President's Cup Round 2,2013-03-16,male,Dale Hall-Bowden,84.00,73,78,-82,92,96,-100,78,96,174,AUS
President's Cup Round 2,2013-03-16,male,Owen Cannell,85.32,55,60,-65,75,-80,80,60,80,140,AUS
President's Cup Round 2,2013-03-16,male,Craig Newman,93.98,40,43,47,58,62,-65,47,62,109,AUS
President's Cup Round 2,2013-03-16,male,Robert Gotts,119.08,60,-63,63,80,83,85,63,85,148,AUS
