event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
WWA Open Competition / End of Year Function,2017-12-03,female,Charlotte Saxton,47.40,27,30,32,36,-41,-42,32,36,68,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Ramona Faamausili-Fala,42.15,20,23,25,28,-31,31,25,31,56,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Junko Matsuzaki,51.70,23,25,-27,35,37,40,25,40,65,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Katrina Birch,57.40,58,60,-63,80,-83,-83,60,80,140,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Keira Anderson-Martin,53.65,25,27,29,33,35,37,29,37,66,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Topaz-Jean Porter,56.60,20,23,25,22,24,-26,25,24,49,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Ryleigh Filmer,54.95,12,15,16,15,20,24,16,24,40,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Indi Waller,58.30,38,-42,42,46,50,-53,42,50,92,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Nina Kowalewski,61.15,45,50,52,55,60,-65,52,60,112,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Simone Le Dilly,62.45,35,-37,38,45,48,-50,38,48,86,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Marie Dawson,61.20,35,38,40,45,48,50,40,50,90,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Elizabeth Duguid,66.00,68,72,74,-92,93,-98,74,93,167,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Cheryl Falconer,66.40,30,-33,33,40,43,45,33,45,78,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Angelica La Cunza-Elliott,73.00,-55,-55,55,74,-77,77,55,77,132,AUS
WWA Open Competition / End of Year Function,2017-12-03,female,Mia Maoate-Latimer,73.35,45,-47,47,50,55,60,47,60,107,AUS
