event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NBWA Club competition,2022-04-23,female,Piper Mcsorley,58.45,49,50,52,60,62,-64,52,62,114,AUS
NBWA Club competition,2022-04-23,female,Anna Thomson,63.40,59,62,65,76,80,84,65,84,149,AUS
NBWA Club competition,2022-04-23,female,Coral Quinell,62.85,21,25,27,26,30,33,27,33,60,AUS
NBWA Club competition,2022-04-23,female,Wendy Pakchung,61.85,21,-22,22,32,34,35,22,35,57,AUS
NBWA Club competition,2022-04-23,female,Tamica Harradine,73.95,32,34,35,42,44,45,35,45,80,AUS
NBWA Club competition,2022-04-23,female,Sue Armstrong,82.65,32,35,38,47,50,53,38,53,91,AUS
NBWA Club competition,2022-04-23,female,Kara-Mea Jo Thompson,94.20,-55,55,58,68,72,-76,58,72,130,AUS
NBWA Club competition,2022-04-23,female,Kylie Posthumus,95.30,38,40,42,50,53,55,42,55,97,AUS
NBWA Club competition,2022-04-23,male,Jonah Le Bherz,75.65,78,80,83,-100,103,-108,83,103,186,AUS
NBWA Club competition,2022-04-23,male,James Pakchung,82.60,85,90,100,110,115,120,100,120,220,AUS
