event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Bronwyn Dunne,86.40,-49,49,52,65,68,70,52,70,122,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Annaleise Dennison,83.40,-36,38,41,46,48,51,41,51,92,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Rebecca Smith,83.10,39,41,-43,48,-50,-51,41,48,89,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Julie Davis,55.20,25,26,-27,37,-38,-38,26,37,63,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Colleen Duplock,57.30,25,26,27,32,-34,-34,27,32,59,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Lesley Moyle,61.50,24,25,26,36,38,40,26,40,66,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Emma Teede,68.70,50,53,-55,72,74,76,53,76,129,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Althea Mackie,70.20,-42,42,45,58,-60,60,45,60,105,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Kerryn Nicoloff,69.10,42,46,-50,50,54,58,46,58,104,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Leandra Miscamble,68.90,32,34,-35,48,-50,-50,34,48,82,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Bronwyn Hitchener,76.10,53,-56,56,67,70,-72,56,70,126,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Lainie Carter,100.70,32,36,39,44,49,-52,39,49,88,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Cooper Wilson,54.30,54,57,60,74,77,80,60,80,140,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Declan Galligan,40.20,29,31,33,33,36,39,33,39,72,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Cooper Ward,45.70,20,23,25,32,36,40,25,40,65,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Kanishka Guyan Jayaratne,67.90,82,86,90,109,114,117,90,117,207,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Tom Friedlander,64.90,64,68,70,86,90,-93,70,90,160,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,James Pakchung,74.70,-102,102,-108,-125,125,,102,125,227,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Ryley Porter,76.50,90,95,-100,120,125,130,95,130,225,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Christopher Lai,73.90,84,88,92,118,123,-126,92,123,215,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Ben Ward,75.30,-85,85,-89,98,-102,102,85,102,187,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Ben Slade,73.50,53,55,57,65,70,73,57,73,130,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Bailey Dixon,70.10,32,34,35,35,38,42,35,42,77,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,James Norman,71.60,-98,-98,-98,,,,0,0,0,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Beau Garrett,79.60,100,105,110,125,130,135,110,135,245,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Riki Hoben,83.30,82,-87,87,115,120,125,87,125,212,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Brent Vaughan,84.50,-82,82,86,107,111,-114,86,111,197,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Nathan Coombridge,83.50,70,74,78,98,102,-105,78,102,180,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Ashton Masters,82.80,70,73,76,95,100,103,76,103,179,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Adam Smidt,77.90,50,55,60,60,65,70,60,70,130,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Tim Holdsworth,82.60,-100,-100,-100,-123,123,-125,0,123,0,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,male,Luke Gardner,94.00,-120,120,123,155,,,123,155,278,AUS
