event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
WA GP #1,2012-02-12,female,Amanda O'Brien,55.85,40,45,-48,50,55,-60,45,55,100,AUS
WA GP #1,2012-02-12,female,Rebecca Payne,56.75,30,33,35,40,43,-45,35,43,78,AUS
WA GP #1,2012-02-12,female,Claire Badenhorst,55.35,25,27,-30,30,33,35,27,35,62,AUS
WA GP #1,2012-02-12,female,Rebecca O'Donnell,59.40,42,46,-50,52,56,-60,46,56,102,AUS
WA GP #1,2012-02-12,female,Hannah Spitalny,68.30,48,52,-55,58,62,67,52,67,119,AUS
WA GP #1,2012-02-12,female,Courtney Page,95.75,50,54,-59,65,70,-75,54,70,124,AUS
WA GP #1,2012-02-12,female,Louise Gregson,83.85,45,-50,-50,56,62,-68,45,62,107,AUS
WA GP #1,2012-02-12,female,Lesley How,51.00,27,32,34,40,-45,-48,34,40,74,AUS
WA GP #1,2012-02-12,female,Grace Morrison,69.45,41,44,46,58,60,63,46,63,109,AUS
WA GP #1,2012-02-12,male,Josiah Widger-Hartree,46.00,35,-38,-39,-42,42,-48,35,42,77,AUS
WA GP #1,2012-02-12,male,Blake Shadbolt,61.25,-60,-62,62,73,79,-82,62,79,141,AUS
WA GP #1,2012-02-12,male,Matthew Munns,69.00,96,-100,-105,115,120,-125,96,120,216,AUS
WA GP #1,2012-02-12,male,Christopher Ferguson,68.75,64,70,-77,90,-102,102,70,102,172,AUS
WA GP #1,2012-02-12,male,Chris Demaine,72.65,70,75,77,90,95,97,77,97,174,AUS
WA GP #1,2012-02-12,male,Mandeep Singh,83.50,90,96,101,120,126,130,101,130,231,AUS
WA GP #1,2012-02-12,male,Mark Veron,79.45,80,-85,-87,91,-95,-100,80,91,171,AUS
WA GP #1,2012-02-12,male,Samuel James,78.60,65,70,74,75,81,86,74,86,160,AUS
WA GP #1,2012-02-12,male,Ben Stanton,82.85,50,56,-62,70,80,83,56,83,139,AUS
WA GP #1,2012-02-12,male,Mathew Kelly,78.70,50,56,-60,70,-77,77,56,77,133,AUS
WA GP #1,2012-02-12,male,Lawrence Murphy,92.20,70,75,80,90,95,100,80,100,180,AUS
WA GP #1,2012-02-12,male,Jonathon Cridland,91.45,60,70,80,80,90,-100,80,90,170,AUS
WA GP #1,2012-02-12,male,Patrick Crowley,102.00,83,87,91,105,112,120,91,120,211,AUS
WA GP #1,2012-02-12,male,Neil Machielse,123.30,120,-130,-130,-150,-160,,120,0,0,AUS
