event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Open Club Competition 1,2017-01-28,female,Jia Lee,51.50,43,46,-50,53,56,-60,46,56,102,AUS
Open Club Competition 1,2017-01-28,female,A P,58.00,55,58,62,76,80,-84,62,80,142,AUS
Open Club Competition 1,2017-01-28,female,Gisele Van Den Berg,57.80,45,48,52,-66,66,70,52,70,122,AUS
Open Club Competition 1,2017-01-28,female,Olivia Massi,57.90,40,43,46,50,53,56,46,56,102,AUS
Open Club Competition 1,2017-01-28,female,Kenyah Lawler,58.90,55,60,64,70,76,80,64,80,144,AUS
Open Club Competition 1,2017-01-28,female,Sophia Gilbert Smith,61.05,55,60,-63,70,-76,77,60,77,137,AUS
Open Club Competition 1,2017-01-28,female,Li-Jan Uera,58.45,-50,-50,-50,,,,0,0,0,AUS
Open Club Competition 1,2017-01-28,female,Laya Dunn,59.50,-53,-55,-55,,,,0,0,0,AUS
Open Club Competition 1,2017-01-28,female,Sammy Wood,68.30,80,85,90,95,100,103,90,103,193,AUS
Open Club Competition 1,2017-01-28,female,Kiana Elliott,66.25,80,-85,85,90,95,,85,95,180,AUS
Open Club Competition 1,2017-01-28,female,Jocelyne Francken,68.60,65,68,72,85,90,95,72,95,167,AUS
Open Club Competition 1,2017-01-28,female,Elizabeth Tan,65.50,58,-60,60,-73,-73,73,60,73,133,AUS
Open Club Competition 1,2017-01-28,female,Erin Henry,68.10,53,56,-60,69,72,-77,56,72,128,AUS
Open Club Competition 1,2017-01-28,female,Jody Dobush,73.70,55,58,-61,-80,80,-83,58,80,138,AUS
Open Club Competition 1,2017-01-28,female,Kerryn Dawson,78.00,50,-53,-53,58,62,-66,50,62,112,AUS
Open Club Competition 1,2017-01-28,male,Alan Vo,68.55,75,85,88,97,-107,107,88,107,195,AUS
Open Club Competition 1,2017-01-28,male,David Veli,65.55,62,65,-68,82,85,-90,65,85,150,AUS
Open Club Competition 1,2017-01-28,male,John Preston,68.65,30,-34,-34,-40,40,-44,30,40,70,AUS
Open Club Competition 1,2017-01-28,male,Cayle Horder,72.45,100,110,-130,120,127,,110,127,237,AUS
Open Club Competition 1,2017-01-28,male,Paul Knowles,78.10,98,102,110,120,130,-138,110,130,240,AUS
Open Club Competition 1,2017-01-28,male,Sean Teasdale,81.45,95,-102,102,112,120,-125,102,120,222,AUS
Open Club Competition 1,2017-01-28,male,James Petroni,84.90,76,82,-91,100,107,-113,82,107,189,AUS
Open Club Competition 1,2017-01-28,male,Jon Delaney,83.90,95,-102,-108,120,127,-133,95,127,222,AUS
Open Club Competition 1,2017-01-28,male,Scott Stokes,84.95,60,63,-70,80,85,90,63,90,153,AUS
Open Club Competition 1,2017-01-28,male,Norak Theam,83.00,58,62,-66,70,-77,-77,62,70,132,AUS
Open Club Competition 1,2017-01-28,male,Mauro Davanzo,84.75,-80,-80,-80,,,,0,0,0,AUS
Open Club Competition 1,2017-01-28,male,Jacob Marquardt,92.40,-120,120,130,143,154,160,130,160,290,AUS
Open Club Competition 1,2017-01-28,male,Jackson Williams,93.60,75,80,-90,-110,110,-120,80,110,190,AUS
Open Club Competition 1,2017-01-28,male,Jen Deng Lee,92.75,68,73,-78,80,86,90,73,90,163,AUS
Open Club Competition 1,2017-01-28,male,Andrew Bradbury,92.70,-100,-105,105,,,,105,0,0,AUS
Open Club Competition 1,2017-01-28,male,Tim Corby,91.55,-77,77,-80,95,100,103,77,103,180,AUS
Open Club Competition 1,2017-01-28,male,John Reynolds,104.25,46,48,-50,60,64,-66,48,64,112,AUS
