event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
SA Club Challenge Round 3,2017-06-24,female,Celine Huynh,29.32,17,-18,-18,20,21,25,17,25,42
SA Club Challenge Round 3,2017-06-24,female,Le Minh Thu Huynh,53.00,-46,46,50,56,60,-67,50,60,110
SA Club Challenge Round 3,2017-06-24,female,Linda Kyritsis,55.42,35,38,42,45,50,-55,42,50,92
SA Club Challenge Round 3,2017-06-24,female,Annie Ward,59.00,40,43,45,-50,50,55,45,55,100
SA Club Challenge Round 3,2017-06-24,female,Claire Wilson,62.60,50,-52,52,65,67,-70,52,67,119
SA Club Challenge Round 3,2017-06-24,female,Joanne Flesfadar,64.80,52,55,60,65,-68,68,60,68,128
SA Club Challenge Round 3,2017-06-24,female,Evelyn Gooley,69.90,40,43,45,50,55,60,45,60,105
SA Club Challenge Round 3,2017-06-24,female,Carly Allen,93.58,60,65,70,83,87,-90,70,87,157
SA Club Challenge Round 3,2017-06-24,male,Lenin Pichiayan,68.66,60,65,-72,80,-90,-90,65,80,145
SA Club Challenge Round 3,2017-06-24,male,Luke Gray,73.56,35,37,41,47,51,55,41,55,96
SA Club Challenge Round 3,2017-06-24,male,Jason Jenkins,87.76,-108,112,116,130,134,137,116,137,253
SA Club Challenge Round 3,2017-06-24,male,Wayne Morgan,97.84,72,76,80,-103,-105,-105,80,0,0
SA Club Challenge Round 3,2017-06-24,male,Matthew Sulkowski,100.48,90,96,100,103,-108,-110,100,103,203
SA Club Challenge Round 3,2017-06-24,male,George Katsambis,118.26,70,-80,-81,91,100,0,70,100,170
