event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Merinda Miegel,46.20,16,18,-20,23,25,27,18,27,45,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Carley Odonnell,51.55,21,23,25,28,31,34,25,34,59,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Niki Davis,53.40,24,26,28,33,35,37,28,37,65,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Jemma Cowper,55.45,38,40,42,55,58,-61,42,58,100,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Anna Murley,58.70,27,29,31,37,39,42,31,42,73,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Kirra Chandler,71.30,27,29,31,35,38,41,31,41,72,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Karlee Catlin,71.50,22,23,25,28,30,32,25,32,57,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Sandra Branson,76.10,23,26,27,30,32,35,27,35,62,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Rebecca Gowland,83.25,30,32,35,40,45,48,35,48,83,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Telia Dennis,97.35,36,38,40,48,-51,51,40,51,91,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,female,Kimberley King,105.45,33,35,37,42,45,48,37,48,85,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,male,Taylor Meads,91.50,52,55,58,73,76,80,58,80,138,AUS
JME Qld Club Challenge Round 1 – Stay True,2017-01-28,male,Thomas O'Brien,141.80,75,80,83,100,105,110,83,110,193,AUS
