event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NTWA Open and Masters Competition,2015-06-14,female,Moana Kirikino,47.90,48,50,-52,66,68,-70,50,68,118,AUS
NTWA Open and Masters Competition,2015-06-14,female,Amy Griggs,53.00,45,48,51,55,58,62,51,62,113,AUS
NTWA Open and Masters Competition,2015-06-14,female,Jana Landong,49.20,40,43,46,54,57,60,46,60,106,AUS
NTWA Open and Masters Competition,2015-06-14,female,Kate Bell,63.00,40,-43,43,50,-54,54,43,54,97,AUS
NTWA Open and Masters Competition,2015-06-14,female,Samantha Drescher,77.20,72,76,80,92,96,-102,80,96,176,AUS
NTWA Open and Masters Competition,2015-06-14,male,Aaron Hicks,67.30,65,72,80,100,105,110,80,110,190,AUS
NTWA Open and Masters Competition,2015-06-14,male,Michael Jones,86.30,80,85,-93,100,107,112,85,112,197,AUS
NTWA Open and Masters Competition,2015-06-14,male,Wesley Thomson,93.90,-65,70,-75,100,-105,-105,70,100,170,AUS
NTWA Open and Masters Competition,2015-06-14,male,Mitchell Drescher,99.70,-80,-80,-80,,,,0,0,0,AUS
NTWA Open and Masters Competition,2015-06-14,male,Terrence Munro,64.60,43,-48,-48,55,60,63,43,63,106,AUS
