event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Rebecca Smith,85.05,36,38,-40,44,47,50,38,50,88,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Charisma Amoe-Tarrant,109.10,-58,-58,-58,-83,,,0,0,0,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Julie Davis,52.65,26,-28,-29,38,39,-41,26,39,65,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Colleen Duplock,52.65,-25,25,-26,32,34,-37,25,34,59,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Justine Winchester,54.80,24,-25,25,30,32,-34,25,32,57,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Catherine O'Brien,60.30,42,-45,-45,50,53,56,42,56,98,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,female,Tina Eilola,96.15,46,47,-48,61,-63,63,47,63,110,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,male,Anthony Head,88.65,85,88,91,110,112,115,91,115,206,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,male,Rohan Cuffe,95.90,-100,-100,105,131,-137,-137,105,131,236,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,male,Adam Meek,98.50,-86,86,-92,110,115,-118,86,115,201,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,male,Ben Paris,68.60,85,90,93,105,111,-116,93,111,204,AUS
Qld Club Challenge Round 1 – North Brisbane,2016-02-06,male,Clint Winchester,67.30,50,52,54,60,64,67,54,67,121,AUS
