event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
JME Qld Club Challenge- Sunshine Coast ,2012-03-10,female,Madalene Derksen,43.30,11,14,15,15,18,21,15,21,36,AUS
JME Qld Club Challenge- Sunshine Coast ,2012-03-10,female,Jade Sharp,52.10,36,40,43,45,50,53,43,53,96,AUS
JME Qld Club Challenge- Sunshine Coast ,2012-03-10,female,Annie Hewitt,59.70,40,43,-45,50,53,-55,43,53,96,AUS
JME Qld Club Challenge- Sunshine Coast ,2012-03-10,male,Jamie Shaw,62.20,45,50,55,55,65,-70,55,65,120,AUS
JME Qld Club Challenge- Sunshine Coast ,2012-03-10,male,Raymond Louden,79.70,47,50,52,62,65,67,52,67,119,AUS
JME Qld Club Challenge- Sunshine Coast ,2012-03-10,male,Rodney Carr,111.90,100,-100,100,120,125,-130,100,125,225,AUS
