event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
SAWLA February Open,2016-02-20,female,Kerryn Smith,74.96,35,-40,40,-55,-56,56,40,56,96
SAWLA February Open,2016-02-20,female,Jessica Beck,72.52,30,35,40,45,50,55,40,55,95
SAWLA February Open,2016-02-20,female,Emma Facoory,88.98,58,60,63,75,-80,80,63,80,143
SAWLA February Open,2016-02-20,female,Carly Allen,91.78,45,50,55,60,65,70,55,70,125
SAWLA February Open,2016-02-20,female,Linda Kyritsis,57.24,35,36,37,49,52,-55,37,52,89
SAWLA February Open,2016-02-20,female,Sharon Mccauley,60.52,50,-53,55,65,70,75,55,75,130
SAWLA February Open,2016-02-20,male,Frank Elliott,76.56,-125,-125,125,145,-152,0,125,145,270
SAWLA February Open,2016-02-20,male,Peter Koufidakis,75.50,-86,87,90,110,-115,116,90,116,206
SAWLA February Open,2016-02-20,male,Stefan Koufidakis,70.80,-83,83,87,100,105,110,87,110,197
SAWLA February Open,2016-02-20,male,Jamie Nguyen,72.08,50,55,60,70,-75,75,60,75,135
SAWLA February Open,2016-02-20,male,Ju Sung Han,80.80,70,-76,77,-95,95,-102,77,95,172
SAWLA February Open,2016-02-20,male,Matthew Thompson,76.50,45,50,-58,70,75,80,50,80,130
SAWLA February Open,2016-02-20,male,John Humphrys,88.90,-38,38,39,47,48,49,39,49,88
