event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
WTI Senior Championships + PC5,2020-08-15,female,Stephanie Pickrell,49.75,45,50,53,60,63,66,53,66,119,AUS
WTI Senior Championships + PC5,2020-08-15,female,Chloe Johns,58.90,39,-42,-42,58,-61,-61,39,58,97,AUS
WTI Senior Championships + PC5,2020-08-15,female,Nat Vanetti,60.00,32,34,35,39,42,-45,35,42,77,AUS
WTI Senior Championships + PC5,2020-08-15,female,Mollie Piemontese,69.55,57,60,63,77,-80,80,63,80,143,AUS
WTI Senior Championships + PC5,2020-08-15,female,Beth Butt,69.00,48,50,51,60,62,64,51,64,115,AUS
WTI Senior Championships + PC5,2020-08-15,female,Adeline-Jane Richardson,65.55,36,38,41,47,50,52,41,52,93,AUS
WTI Senior Championships + PC5,2020-08-15,female,Mya Venn,73.65,50,53,55,68,71,,55,71,126,AUS
WTI Senior Championships + PC5,2020-08-15,female,Beth Isaac,75.15,33,-35,-35,43,45,48,33,48,81,AUS
WTI Senior Championships + PC5,2020-08-15,female,Bailey Rogers,80.50,83,86,90,104,108,112,90,112,202,AUS
WTI Senior Championships + PC5,2020-08-15,female,Tegan Knee,77.00,45,48,51,60,62,64,51,64,115,AUS
WTI Senior Championships + PC5,2020-08-15,female,Emily Drysdale,79.70,40,42,-44,-58,58,61,42,61,103,AUS
WTI Senior Championships + PC5,2020-08-15,female,Anna Burke,77.80,27,29,31,39,41,-43,31,41,72,AUS
WTI Senior Championships + PC5,2020-08-15,female,Jacinta Keating,80.50,-46,-46,-46,55,-59,-65,0,55,0,AUS
WTI Senior Championships + PC5,2020-08-15,female,Kath Olechowski,83.75,75,78,-81,98,-100,100,78,100,178,AUS
WTI Senior Championships + PC5,2020-08-15,female,Sophie Kline,99.20,60,63,66,-78,80,84,66,84,150,AUS
WTI Senior Championships + PC5,2020-08-15,female,Jacqueline Saward,87.85,57,61,-64,77,81,84,61,84,145,AUS
WTI Senior Championships + PC5,2020-08-15,female,Annaliese Owen,99.60,57,60,62,68,72,75,62,75,137,AUS
WTI Senior Championships + PC5,2020-08-15,female,Danica Holloway,104.75,45,49,52,67,71,-74,52,71,123,AUS
WTI Senior Championships + PC5,2020-08-15,female,Rebecca Direen,96.75,40,42,44,50,52,54,44,54,98,AUS
WTI Senior Championships + PC5,2020-08-15,female,Emma Fyfe,92.00,37,39,41,46,48,50,41,50,91,AUS
WTI Senior Championships + PC5,2020-08-15,male,Stephen Song,66.15,35,-37,37,46,50,53,37,53,90,AUS
WTI Senior Championships + PC5,2020-08-15,male,Caden Harper,64.70,23,26,28,28,31,34,28,34,62,AUS
WTI Senior Championships + PC5,2020-08-15,male,Zac Morrisby,72.40,71,74,-77,89,-93,96,74,96,170,AUS
WTI Senior Championships + PC5,2020-08-15,male,Caleb Lucas,80.85,76,80,82,101,106,111,82,111,193,AUS
WTI Senior Championships + PC5,2020-08-15,male,Ben Castle,88.85,-108,-108,108,135,-140,-140,108,135,243,AUS
WTI Senior Championships + PC5,2020-08-15,male,Tim Sumpton,86.25,65,68,71,95,99,-103,71,99,170,AUS
WTI Senior Championships + PC5,2020-08-15,male,Zac Millhouse,94.55,-114,-115,-115,145,151,-160,0,151,0,AUS
WTI Senior Championships + PC5,2020-08-15,male,Jordan Cripps,99.75,102,-107,-108,135,-140,-141,102,135,237,AUS
WTI Senior Championships + PC5,2020-08-15,male,Thomas Elder,97.35,82,86,-89,101,106,110,86,110,196,AUS
WTI Senior Championships + PC5,2020-08-15,male,Ky Wittich,102.55,79,-82,82,100,103,-106,82,103,185,AUS
WTI Senior Championships + PC5,2020-08-15,male,Ryan Dudman,113.55,104,109,112,-136,141,,112,141,253,AUS
WTI Senior Championships + PC5,2020-08-15,male,Tim Boys,113.10,86,90,95,125,-130,135,95,135,230,AUS
