event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Cliff Joyce Memorial,2016-08-20,female,Stephanie Pickrell,46.90,42,44,46,54,57,60,46,60,106,AUS
Cliff Joyce Memorial,2016-08-20,female,Tegan Kirkpatrick,50.36,48,-50,-52,-60,60,-63,48,60,108,AUS
Cliff Joyce Memorial,2016-08-20,female,Odette Carpenter,58.00,52,55,-57,68,72,-74,55,72,127,AUS
Cliff Joyce Memorial,2016-08-20,female,Tamara Coleman,59.96,54,57,60,72,75,77,60,77,137,AUS
Cliff Joyce Memorial,2016-08-20,female,Haylee Walker,58.96,40,43,45,47,50,-52,45,50,95,AUS
Cliff Joyce Memorial,2016-08-20,female,Kiana Lambie,70.60,-45,45,50,58,62,66,50,66,116,AUS
Cliff Joyce Memorial,2016-08-20,female,Molly Baker,74.68,31,-34,34,45,48,51,34,51,85,AUS
Cliff Joyce Memorial,2016-08-20,female,Hannah Barron,71.10,25,28,30,38,41,43,30,43,73,AUS
Cliff Joyce Memorial,2016-08-20,female,Telyshia Jones,82.22,56,60,-62,63,67,-70,60,67,127,AUS
Cliff Joyce Memorial,2016-08-20,female,Holly Butler,83.32,47,50,53,65,-70,70,53,70,123,AUS
Cliff Joyce Memorial,2016-08-20,female,Beth Butt,76.36,48,-51,51,65,-68,68,51,68,119,AUS
Cliff Joyce Memorial,2016-08-20,female,Annaliese Owen,91.22,-48,48,-52,62,66,70,48,70,118,AUS
Cliff Joyce Memorial,2016-08-20,female,Lyn Flint,75.16,47,50,52,-60,60,65,52,65,117,AUS
Cliff Joyce Memorial,2016-08-20,female,Katie Marriner,79.22,30,33,35,43,46,49,35,49,84,AUS
Cliff Joyce Memorial,2016-08-20,female,Abbey Boon,78.50,30,32,34,38,40,-42,34,40,74,AUS
Cliff Joyce Memorial,2016-08-20,female,Jewel Banks,81.30,20,23,25,30,33,-35,25,33,58,AUS
Cliff Joyce Memorial,2016-08-20,female,Nicolette Dunstone,52.28,-47,47,-50,60,-65,-65,47,60,107,AUS
Cliff Joyce Memorial,2016-08-20,female,Jo Beams,52.18,32,35,-38,-49,49,-53,35,49,84,AUS
Cliff Joyce Memorial,2016-08-20,female,Melanie Richardson,85.68,35,38,-40,49,52,55,38,55,93,AUS
Cliff Joyce Memorial,2016-08-20,male,Charles Price,75.66,-77,77,-81,-98,98,103,77,103,180,AUS
Cliff Joyce Memorial,2016-08-20,male,Russell Boxhall,71.56,52,55,57,67,71,73,57,73,130,AUS
Cliff Joyce Memorial,2016-08-20,male,Charlie Portlock,70.38,43,47,-50,63,67,-70,47,67,114,AUS
Cliff Joyce Memorial,2016-08-20,male,Lincoln Bowman,83.68,85,-89,89,120,127,131,89,131,220,AUS
Cliff Joyce Memorial,2016-08-20,male,Will Portlock,82.50,74,-78,-78,97,102,-105,74,102,176,AUS
Cliff Joyce Memorial,2016-08-20,male,Micah Wade,88.38,-88,-88,88,120,125,130,88,130,218,AUS
Cliff Joyce Memorial,2016-08-20,male,Jordan Gotts,92.12,-82,-82,-82,,,,0,0,0,AUS
Cliff Joyce Memorial,2016-08-20,male,Dylan Oakford,99.68,-115,-115,-115,135,140,145,0,145,0,AUS
Cliff Joyce Memorial,2016-08-20,male,Ryan Harley,103.66,-81,-81,-81,,,,0,0,0,AUS
Cliff Joyce Memorial,2016-08-20,male,Edward Maxwell,110.01,115,119,122,140,147,151,122,151,273,AUS
Cliff Joyce Memorial,2016-08-20,male,Russell Kapper,72.52,80,-85,-85,90,-95,95,80,95,175,AUS
Cliff Joyce Memorial,2016-08-20,male,Zac Millhouse,76.28,100,-104,-104,125,-130,130,100,130,230,AUS
Cliff Joyce Memorial,2016-08-20,male,Shaun Leonard,79.86,-75,-75,75,-92,-92,92,75,92,167,AUS
Cliff Joyce Memorial,2016-08-20,male,Josh Shepherd,75.50,70,75,-77,85,-90,90,75,90,165,AUS
Cliff Joyce Memorial,2016-08-20,male,Tim Sumpton,86.98,65,70,75,80,85,90,75,90,165,AUS
Cliff Joyce Memorial,2016-08-20,male,Mick Burton,97.22,-80,80,-84,107,110,-113,80,110,190,AUS
Cliff Joyce Memorial,2016-08-20,male,Nathan O'Halloran,103.10,80,-84,88,105,110,112,88,112,200,AUS
Cliff Joyce Memorial,2016-08-20,male,Andrew Bailey,121.70,32,38,40,45,48,51,40,51,91,AUS
