event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,female,Lacey Burns,62.75,46,50,-54,58,61,65,50,65,115,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,female,Leah Fesuk,70.20,42,44,-46,52,55,58,44,58,102,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,female,Lily Morrison,71.80,63,66,-70,80,85,-90,66,85,151,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,female,Jean Friend,74.65,28,-31,-31,38,-43,-43,28,38,66,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,female,Emily Mills,137.90,50,-53,-53,63,66,70,50,70,120,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Levi Deans,65.50,-72,72,76,95,100,105,76,105,181,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Zac Schwitter,80.25,-100,100,106,130,-134,134,106,134,240,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Eli Frew,78.35,32,34,-36,40,44,47,34,47,81,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Taj Marsh,87.65,100,110,,120,130,141,110,141,251,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Jarrad Mccarthy,98.55,-72,-72,72,94,98,102,72,102,174,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Angus Ward,107.65,105,110,115,140,151,-155,115,151,266,AUS
SCWC - Physique Science QWA Club Challenge - Round 2,2022-06-25,male,Jack Murray,104.95,84,88,91,105,110,-116,91,110,201,AUS
