event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
AWALA/SAWC May Open,2012-05-26,female,Jessica Edge,56.72,60,62,64,79,-82,-82,64,79,143,AUS
AWALA/SAWC May Open,2012-05-26,female,Latoya Davey,56.90,20,22,25,25,30,35,25,35,60,AUS
AWALA/SAWC May Open,2012-05-26,female,Kirsty Cathcart,86.80,37,40,-43,50,-55,-55,40,50,90,AUS
AWALA/SAWC May Open,2012-05-26,male,Frank Elliott,85.88,90,96,103,125,-128,-128,103,125,228,AUS
AWALA/SAWC May Open,2012-05-26,male,Toby Cathcart,88.34,-70,-70,70,102,-105,-105,70,102,172,AUS
AWALA/SAWC May Open,2012-05-26,male,Ben Mulder,99.98,124,-128,-128,155,160,-165,124,160,284,AUS
AWALA/SAWC May Open,2012-05-26,male,Martin Hardy,95.60,87,91,-96,105,111,116,91,116,207,AUS
AWALA/SAWC May Open,2012-05-26,male,Matthew Randell,95.98,80,85,-90,110,-115,115,85,115,200,AUS
AWALA/SAWC May Open,2012-05-26,male,Jared Grimm,103.92,35,40,-45,45,50,57,40,57,97,AUS
AWALA/SAWC May Open,2012-05-26,male,John Humphrys,83.58,-40,-40,40,50,-54,54,40,54,94,AUS
