meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Open Men's 89kg,Nathan Cerwinske,85.2,130,135,-140,170,175,-182,135,175,310
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Open Men's +109kg,Xavier Borde,116.5,130,135,140,163,170,-171,140,170,310
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Open Men's 96kg,Eloi Ishya,96,130,135,-140,170,-180,-180,135,170,305
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Open Men's +109kg,Tyler Johnson,158.3,125,131,137,160,166,-172,137,166,303
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Men's Masters (40-44) 109kg,Matthew Sheldon,109,116,122,127,161,-167,167,127,167,294
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Men's Masters (35-39) 96kg,Beau Poteet,94.4,-125,125,130,152,-161,-161,130,152,282
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (35-39) 81kg,James Ellis,79.85,117,121,125,-143,143,150,125,150,275
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Men's Masters (45-49) +109kg,Shawn Hanrahan,117.25,112,-116,118,147,152,157,118,157,275
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (40-44) 81kg,Thomas Morga,80.9,115,118,121,147,151,-155,121,151,272
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Men's Masters (35-39) 96kg,Eugene Shem,95.3,110,115,-120,140,146,150,115,150,265
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (35-39) 102kg,Joseph Troia,100.1,115,120,-125,135,140,145,120,145,265
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (35-39) 89kg,John Hazdovac,88.85,115,120,-123,140,145,-150,120,145,265
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (50-54) 109kg,Doug Clouse,107.2,105,110,115,135,140,145,115,145,260
2022 Arizona State and Mountain South WSO Championship,2022-10-15,Junior Men's 81kg,Calvin Barcena,80.5,105,110,-115,135,140,145,110,145,255
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Open Men's 96kg,Brent Jones,93.6,106,110,-115,135,140,-146,110,140,250
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Junior Men's 89kg,James Wollum,86,104,-108,-111,132,137,141,104,141,245
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Open Men's 73kg,mario mikha,73,100,-105,-108,128,134,140,100,140,240
2022 Arizona State and Mountain South WSO Championship,2022-10-15,Men's 14-15 Age Group +89kg,Johnny Barrios,117.4,93,98,102,125,130,133,102,133,235
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Men's Masters (35-39) +109kg,Robert Lovato,134.95,94,98,101,130,134,-137,101,134,235
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (35-39) 89kg,Joey Donofrio,87.4,-100,102,106,115,120,125,106,125,231
2022 Arizona State and Mountain South WSO Championship,2022-10-09,Junior Men's 96kg,Cody Walker,90.25,89,92,96,122,127,-132,96,127,223
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (40-44) 81kg,James Braun,80.05,95,98,-101,118,121,125,98,125,223
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Open Men's 102kg,Trever Latham,100.55,101,105,-110,113,-120,-120,105,113,218
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Men's Masters (35-39) 81kg,Joe Black,80.55,90,95,-100,110,115,120,95,120,215
2022 Arizona State and Mountain South WSO Championship,2022-10-08,Open Men's 73kg,Martin Glenn-Adams,72.9,93,-98,98,115,-121,-124,98,115,213
