meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2019 Lock and Load,2019-05-05,Open Men's 102kg,Timothy Hearn,100.4,-120,-120,120,148,-153,-153,120,148,268
2019 Lock and Load,2019-05-05,Open Men's +109kg,Kevin Frye,147.65,110,117,-122,128,-138,140,117,140,257
2019 Lock and Load,2019-05-05,Open Men's 96kg,Emanuel Medina,94.63,107,-115,-115,140,-150,150,107,150,257
2019 Lock and Load,2019-05-05,Open Men's 96kg,Phillip Roberts,94.58,110,116,-121,140,-144,-144,116,140,256
2019 Lock and Load,2019-05-05,Open Men's 81kg,Micah Kurzyniec,78.75,105,110,-112,124,-130,130,110,130,240
2019 Lock and Load,2019-05-05,Open Men's 102kg,Mike Taatgen,101.1,90,95,101,130,135,-143,101,135,236
2019 Lock and Load,2019-05-05,Open Men's 102kg,Kevin Smith,96,100,105,-108,130,-135,-140,105,130,235
2019 Lock and Load,2019-05-05,Open Men's 81kg,Bryce Newsome,77.9,95,102,-110,123,130,-140,102,130,232
2019 Lock and Load,2019-05-05,Open Men's 96kg,Geovanni Barron,95.75,90,95,-100,125,130,-135,95,130,225
2019 Lock and Load,2019-05-05,Open Men's 109kg,Dalton Smith,107.19,-90,90,93,110,115,120,93,120,213
2019 Lock and Load,2019-05-05,Open Men's 81kg,Jason Krogulski,76.72,85,90,-95,110,115,120,90,120,210
2019 Lock and Load,2019-05-05,Open Men's 96kg,Steve Burgos,93.9,82,86,90,108,113,117,90,117,207
2019 Lock and Load,2019-05-05,Open Men's 81kg,Jayson Hatfield,79.9,90,-95,95,110,-115,-115,95,110,205
2019 Lock and Load,2019-05-05,Open Women's 64kg,Taylor Wilkins,62.3,80,84,87,100,104,108,87,108,195
2019 Lock and Load,2019-05-05,Open Women's 71kg,Emily McLendon,71,78,82,85,98,102,105,85,105,190
2019 Lock and Load,2019-05-05,Open Men's +109kg,Michael Soukup,150.18,70,74,78,105,110,-118,78,110,188
2019 Lock and Load,2019-05-05,Open Men's 89kg,John Epp,86.8,72,75,80,87,90,95,80,95,175
2019 Lock and Load,2019-05-05,Open Men's +109kg,Kyle Stambler,126.3,65,70,75,85,90,95,75,95,170
2019 Lock and Load,2019-05-05,Open Women's 81kg,Emma Latimore,77.7,67,-70,-70,93,97,100,67,100,167
