meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Men's 14-15 Age Group 77 kg,ROBERT COLANTONIO,71,0,0,0,70,0,0,0,70,70
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 58 kg,Susan Young,57.14,0,0,0,65,0,0,0,65,65
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's +75 Kg,Jennifer Anderson,81.6,0,0,0,65,0,0,0,65,65
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 58 kg,Skye Butman,56,0,0,0,63,0,0,0,63,63
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (45-49) 53 kg,Dawn Adam-brown,52.36,0,0,0,62,0,0,0,62,62
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Men's 14-15 Age Group 62 kg,Samuel Wong-Rapuano,57,0,0,0,61,0,0,0,61,61
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's +75 Kg,Carly Mauch,80.86,0,0,0,60,0,0,0,60,60
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's +75 Kg,Kaitlin Lyons,107.76,0,0,0,60,0,0,0,60,60
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 69 kg,Lev Epshteyn,64.6,0,0,0,60,0,0,0,60,60
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 58 kg,Amanda Marshall,53.66,0,0,0,57,0,0,0,57,57
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's +75 Kg,Hailey Butman,75.98,0,0,0,56,0,0,0,56,56
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 53 kg,Marie Garcia,52.98,0,0,0,54,0,0,0,54,54
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 63 kg,Danielle Reynolds,61.88,0,0,0,53,0,0,0,53,53
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's +75 Kg,Renee Lee,77.84,0,0,0,53,0,0,0,53,53
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's +75 Kg,Mary Jane Mattern,77.32,0,0,0,53,0,0,0,53,53
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 77 kg,Leon Pelletier,75.7,0,0,0,53,0,0,0,53,53
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (40-44) 48 kg,Tara Picardy,47.34,0,0,0,48,0,0,0,48,48
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (50-54) 58 kg,Sarah Wong,53.6,0,0,0,46,0,0,0,46,46
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (50-54) 63 kg,Carol Steingress,61.94,0,0,0,44,0,0,0,44,44
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 69 kg,Robert Sweeney,62.4,0,0,0,43,0,0,0,43,43
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 77 kg,Armand Turgeon,72.6,0,0,0,43,0,0,0,43,43
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 53 kg,Ally Treen,52.16,0,0,0,43,0,0,0,43,43
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 58 kg,Kledia Spiro,55.98,0,0,0,42,0,0,0,42,42
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (45-49) 48 kg,Denise Bloom,45.04,0,0,0,42,0,0,0,42,42
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (50-54) 63 kg,Susan Wong,60.66,0,0,0,41,0,0,0,41,41
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 53 kg,Bethany Hesch,52.74,0,0,0,34,0,0,0,34,34
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (55-59) 69 kg,Amy McElroy,64.66,0,0,0,30,0,0,0,30,30
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's Masters (60-64) 53 kg,Jane Higgins,52.74,0,0,0,28,0,0,0,28,28
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Women's 13 Under Age Group 39kg,Gwendolyn Rojas,37.72,0,0,0,26,0,0,0,26,26
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Women's 63 kg,Kathleen O'Neill,62.04,0,0,0,0,0,0,0,0,0
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 77 kg,Jon Cioffi,72.9,0,0,0,0,0,0,0,0,0
