meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Rite of Passage,2019-11-17,Open Men's 89kg,Alessandro Zanet,87.03,108,113,-117,137,142,-145,113,142,255
Rite of Passage,2019-11-17,Open Men's 89kg,Denny Cordle,88.74,105,-108,108,143,147,-149,108,147,255
Rite of Passage,2019-11-17,Open Men's 96kg,Joobin Mozaffarimehr,92.63,102,106,-110,136,141,146,106,146,252
Rite of Passage,2019-11-17,Open Men's 109kg,Marcus Ramirez,103.5,-105,105,110,-131,131,136,110,136,246
Rite of Passage,2019-11-17,Open Men's 89kg,CHRISTOPHER Lee,85.51,-100,-105,105,125,132,-137,105,132,237
Rite of Passage,2019-11-17,Open Men's +109kg,Hao Luo,120.73,100,105,-110,-125,-125,125,105,125,230
Rite of Passage,2019-11-17,Open Men's 81kg,Joseph Sousa,75.07,95,98,101,121,125,128,101,128,229
Rite of Passage,2019-11-17,Open Men's 73kg,Nicholas Kim,72.2,-97,-97,98,125,129,-132,98,129,227
Rite of Passage,2019-11-17,Open Men's 89kg,Daniel Ou,82.1,-98,98,106,110,120,-130,106,120,226
Rite of Passage,2019-11-17,Open Men's 81kg,Holden Takahashi,75.74,80,84,91,125,131,-133,91,131,222
Rite of Passage,2019-11-17,Open Men's 67kg,Sean Guterres,66.05,93,96,100,113,117,121,100,121,221
Rite of Passage,2019-11-17,Open Men's 102kg,Thomas Slintak,100.4,92,97,101,110,115,-120,101,115,216
Rite of Passage,2019-11-17,Open Men's 81kg,Andre Dang,79.85,84,88,91,118,124,-126,91,124,215
Rite of Passage,2019-11-17,Open Men's 81kg,Royal Addis,75.37,80,86,95,-105,107,115,95,115,210
Rite of Passage,2019-11-17,Open Men's 81kg,Caton Ly,80.1,93,97,-100,107,112,-115,97,112,209
Rite of Passage,2019-11-17,Open Men's 102kg,Joseph Crawley,98.94,82,87,91,109,114,-120,91,114,205
Rite of Passage,2019-11-17,Open Men's 73kg,Andres Bickham,72.77,77,84,88,104,111,115,88,115,203
Rite of Passage,2019-11-17,Open Men's 81kg,Jacob Oribiana,79.75,-88,88,91,-112,-112,112,91,112,203
Rite of Passage,2019-11-17,Open Men's 81kg,Liran Krell,75.3,83,86,93,108,-112,-114,93,108,201
Rite of Passage,2019-11-17,Open Men's 73kg,Isaac Chau,71.67,82,85,90,102,107,-111,90,107,197
Rite of Passage,2019-11-17,Open Men's 109kg,Mitchell Uncangco,102.73,85,87,90,105,107,-110,90,107,197
Rite of Passage,2019-11-17,Open Men's 81kg,Argyle Roble,76.4,85,-88,88,102,107,-112,88,107,195
Rite of Passage,2019-11-17,Open Men's 67kg,Hiromasa Muramatsu,65.97,79,83,-87,102,108,111,83,111,194
Rite of Passage,2019-11-17,Open Men's +109kg,Christopher Biscardi,142.5,80,-85,-90,110,-112,-112,80,110,190
Rite of Passage,2019-11-17,Open Men's 81kg,Kevin Luong,80.28,80,-85,85,100,104,-108,85,104,189
Rite of Passage,2019-11-17,Open Men's 81kg,Telesforo Dacanay,75.7,82,-86,-91,-100,107,-111,82,107,189
Rite of Passage,2019-11-17,Open Men's 96kg,Noah Reese,91.22,77,80,84,100,104,-108,84,104,188
Rite of Passage,2019-11-17,Open Men's 81kg,Zachary Hyde,79.21,75,78,-81,103,106,109,78,109,187
Rite of Passage,2019-11-17,Open Men's 81kg,Manuel Ugarte,78.91,70,74,77,95,100,105,77,105,182
Rite of Passage,2019-11-17,Open Men's 89kg,Casey Estorga,88.01,73,78,-81,93,97,100,78,100,178
Rite of Passage,2019-11-17,Open Men's 96kg,Halston Sandford,89.66,70,-75,75,95,100,103,75,103,178
Rite of Passage,2019-11-17,Open Men's 73kg,Derrick Lee,71.5,70,74,-78,95,100,-105,74,100,174
