meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Men's 109kg,David Lynn,106,130,-135,137,165,171,175,137,175,312
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Men's 96kg,Michael Tancini,93.6,125,130,-131,-161,161,-166,130,161,291
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Men's 89kg,Joshua Carter ,86.9,111,-117,-120,138,145,150,111,150,261
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's Masters (35-39) 81kg,Jacob Elder,80.3,-110,113,118,130,135,140,118,140,258
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Men's 109kg,Matthew Cyran,103.7,98,-102,-103,126,-134,134,98,134,232
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's Masters (40-44) +109kg,Simon Clark,110,95,100,105,115,120,125,105,125,230
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's Masters (40-44) +109kg,Marvin Rothwell,111.8,70,80,86,-105,105,112,86,112,198
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Men's 81kg,Kirill Giberti,73.4,79,-84,-84,113,-121,-121,79,113,192
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's Masters (40-44) 67kg,Wes Richardson,66.4,75,80,83,100,105,-108,83,105,188
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (35-39) 71kg,Amy Pierce,66.9,72,75,78,92,97,-101,78,97,175
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 81kg,Samantha Kirkland,78,67,70,72,80,85,90,72,90,162
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 76kg,Christine Zimmerman,75.7,59,63,67,70,76,-82,67,76,143
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 81kg,Alexandra Hedges,78.2,58,63,67,70,71,75,67,75,142
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 64kg,Marida Eriksen,62,60,-63,63,71,74,-78,63,74,137
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Men's 102kg,Vu Do,96.5,-110,-115,-115,125,130,135,0,135,135
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 81kg,Kaitlynn Remy,76.7,-59,-59,60,-74,74,-78,60,74,134
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (35-39) 87kg,Kristen Cyran,86.1,-58,59,-63,70,72,75,59,75,134
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (35-39) 71kg,Kate Painter,64.3,57,-60,-61,73,77,-79,57,77,134
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's 16-17 Age Group 55kg,TAYLOR TINGEN,53.6,58,-60,-60,70,-73,73,58,73,131
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 81kg,Amber Morton,81,-55,55,57,74,-77,-77,57,74,131
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 87kg,Amanda Coffrin,85.2,59,61,-63,66,70,-73,61,70,131
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's +87kg,Skyler Peebles,112.3,48,51,55,63,68,72,55,72,127
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's Masters (45-49) 89kg,Scott Stamey,86.1,56,58,61,60,63,66,61,66,127
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (40-44) 59kg,Lynnette Hull,57.5,49,52,-55,64,69,74,52,74,126
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (35-39) 59kg,Megan Patton,58,51,53,-56,68,71,-73,53,71,124
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (35-39) 71kg,Margot Deeny,65.7,51,54,-57,65,69,-73,54,69,123
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 64kg,Eunisa Lindsey,63.3,47,49,51,66,68,-71,51,68,119
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's Masters (60-64) 89kg,Robert Walker,89,49,52,54,59,62,65,54,65,119
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's 14-15 Age Group 71kg,Saoirse Moler,69.7,43,46,49,55,58,61,49,61,110
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 71kg,Danielle Gallant,64.7,43,46,48,55,57,60,48,60,108
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (40-44) 87kg,Christy Bishop,86.1,45,47,-49,54,56,58,47,58,105
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Junior Women's 71kg,Anna Shiffler,70.3,-40,41,44,55,58,60,44,60,104
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Open Women's 71kg,Jessica Tetterton,68.3,39,42,-46,51,-53,54,42,54,96
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's 13 Under Age Group +73kg,Ezi Moler,99.1,35,38,41,47,51,53,41,53,94
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Women's Masters (55-59) 64kg,Silke Spang,63.3,37,39,40,42,44,46,40,46,86
BARBELLS N SPRINKLES FALL OPEN,2022-09-10,Men's 13 Under Age Group 39kg,Michael McKinney,37,16,18,-20,20,23,26,18,26,44
