meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Winter Solstice Open,2015-12-19,Open Men's+105 kg,Peter Galick,114.91,125,130,-135,150,-157,157,130,157,287
Winter Solstice Open,2015-12-19,Open Men's 77 kg,Jordan Wissinger,75.74,-106,106,115,137,141,145,115,145,260
Winter Solstice Open,2015-12-19,Open Men's 94 kg,Grant Stewart,91.25,105,110,115,120,-126,131,115,131,246
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Larry McLaughlin,82,100,103,-107,134,-138,138,103,138,241
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Colt Armstrong,83.15,-100,102,106,125,130,135,106,135,241
Winter Solstice Open,2015-12-19,Open Men's 105 kg,Phillip James,102.55,-100,-100,100,130,135,140,100,140,240
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Sean Campbell,80.96,94,98,104,120,128,134,104,134,238
Winter Solstice Open,2015-12-19,Open Men's 94 kg,Dan Carlson,90.46,100,105,110,121,126,-131,110,126,236
Winter Solstice Open,2015-12-19,Open Men's 105 kg,Mitchell Stokes,103.22,-100,100,110,120,125,-137,110,125,235
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Rob Barrese,84.75,-98,100,-104,127,131,-135,100,131,231
Winter Solstice Open,2015-12-19,Open Men's+105 kg,Edward Leemon,107.37,95,-100,100,130,-135,-137,100,130,230
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Justin Rementer,82.55,100,103,106,118,121,123,106,123,229
Winter Solstice Open,2015-12-19,Open Men's 94 kg,John Boylan,89.57,102,-107,-107,120,-126,126,102,126,228
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Michael Weidner,83.34,97,100,103,118,120,125,103,125,228
Winter Solstice Open,2015-12-19,Open Men's 94 kg,George Schneider,93.51,90,95,-100,125,130,-134,95,130,225
Winter Solstice Open,2015-12-19,Open Men's 105 kg,Rob Grauert,94.75,95,102,-107,-122,122,-127,102,122,224
Winter Solstice Open,2015-12-19,Open Men's 94 kg,Jason Morstein,93.25,98,102,106,118,-123,-125,106,118,224
Winter Solstice Open,2015-12-19,Open Men's 94 kg,Robert DiBerardino,92.27,94,99,-104,-120,-124,124,99,124,223
Winter Solstice Open,2015-12-19,Open Men's 105 kg,Daniel Colenda,101.65,90,95,100,110,117,123,100,123,223
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Phillip Nash,82.68,85,90,-95,125,-130,131,90,131,221
Winter Solstice Open,2015-12-19,Open Men's 85 kg,Ishban Aziz,84.58,93,-96,100,120,-125,-125,100,120,220
Winter Solstice Open,2015-12-19,Open Men's 94 kg,Matt Mangus,90.78,90,-95,-100,123,128,-139,90,128,218
Winter Solstice Open,2015-12-19,Open Men's 94 kg,Colin Hudson,91.5,84,88,97,115,120,-125,97,120,217
