event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,56 kg Men,RIKLON Mike Enricel,49.70,60,62,64,82,85,90,64,90,154
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,56 kg Men,FESOLAI Avery Durrell,52.40,58,61,63,78,81,-83,63,81,144
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,56 kg Men,AGIR Menesso,49.40,50,55,57,55,60,-65,57,60,117
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,62 kg Men,MOSES Ezekiel,61.80,100,105,-108,-130,130,135,105,135,240
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,62 kg Men,SCOTTY Brocka,61.30,85,90,95,110,-120,120,95,120,215
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,62 kg Men,RALPHO Joshua,61.40,70,-80,-80,85,90,0,70,90,160
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,62 kg Men,TEYSSIER Kilian Ananke,57.70,53,58,-61,-71,-71,71,58,71,129
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,69 kg Men,DOGUAPE Larko,68.30,105,-110,110,133,138,-142,110,138,248
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,69 kg Men,DETUDAMO Uea,67.90,100,107,-112,130,135,-139,107,135,242
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,69 kg Men,DOUBLE Jaden Reef,67.30,77,80,83,85,88,-95,83,88,171
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,69 kg Men,MOANIBA Tekina,67.50,70,75,80,-90,90,-95,80,90,170
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,69 kg Men,LAMONT Tuteari Horowai,66.90,-77,-77,-77,0,0,0,0,0,0
2018 OCEANIAN JUNIOR CHAMPIONSHIPS,2018-06-26,77 kg Men,JOHANSSON Roy Carl Johan,76.10,80,-83,85,98,101,106,85,106,191
