2014全日本ジュニア選手権.pdf,"[114, 7]","[46, 17]","[46, 18]","[48, 19]","[26, 20]","[17, 21]"
2018高校選抜.pdf,"[75, 9]","[81, 22]","[122, 23]"
2018全日本学生選抜.pdf,"[8, 4]","[6, 5]","[31, 18]","[7, 20]","[7, 21]","[2, 22]","[6, 23]"
2014全日本女子選手権.pdf,"[50, 7]","[12, 8]","[23, 19]","[32, 20]","[18, 21]"
2013全国高校選抜.pdf,"[98, 6]","[64, 21]","[100, 22]","[31, 23]"
2017インカレ２部　女子.pdf,"[20, 10]","[30, 20]"
2019U_kojin全日本学生個人.pdf,"[0, 3]","[64, 18]","[136, 21]"
2015全国高校女子.pdf,"[10, 7]","[5, 8]","[14, 9]","[28, 10]","[38, 14]","[50, 15]","[46, 25]","[122, 26]","[30, 27]"
2021alljapan_result.pdf,"[12, 19]","[159, 20]"
2021Jr.pdf,"[118, 19]"
2018レディースカップ.pdf,"[3, 11]","[28, 13]","[31, 14]","[187, 17]","[25, 18]"
2021_gakuseikojin.pdf,"[203, 20]"
2017全国中学生選手権.pdf,"[32, 8]","[56, 9]","[20, 22]","[107, 23]"
2015全日本学生選抜.pdf,"[24, 7]","[0, 18]","[11, 19]","[44, 20]","[1, 21]","[6, 22]","[13, 23]","[10, 24]"
2018関西学生選抜.pdf,"[31, 18]"
2017東日本大学対抗.pdf,"[24, 7]","[16, 14]","[12, 18]","[28, 20]","[13, 21]","[62, 22]","[16, 23]"
2022　IC_W.pdf,"[20, 18]","[89, 19]"
2013全日本ジュニア　女子.pdf,"[3, 4]","[9, 5]","[9, 12]","[11, 13]","[1, 16]","[18, 18]","[31, 19]"
2013全日本学生新人選手権.pdf,"[14, 4]","[135, 18]"
2014U_kansaisenbatsu_nishinihon.pdf,"[100, 20]"
2016全日本選手権.pdf,"[0, 1]","[12, 2]","[4, 14]","[76, 15]","[44, 16]","[7, 17]","[33, 18]","[129, 20]","[19, 21]"
2017関西学生選手権.pdf,"[25, 16]","[92, 25]"
2022-IC-Ⅱ_day3.pdf,"[22, 12]","[162, 23]"
2018インカレ２部.pdf,"[66, 15]","[121, 20]","[51, 23]"
2021_H_senbatu_Result-3.pdf,"[224, 20]"
2018全国高校女子.pdf,"[43, 16]","[50, 18]","[53, 19]","[170, 20]"
2014東日本学生個人・新人選手権.pdf,"[18, 4]","[133, 18]"
2019IH全国高校総体.pdf,"[90, 19]","[71, 20]","[290, 22]","[59, 23]"
2015インカレ１部　男女.pdf,"[10, 4]","[11, 6]","[14, 7]","[106, 12]","[12, 15]","[19, 16]","[57, 22]"
2012東日本大学対抗.pdf,"[13, 3]","[5, 8]","[14, 9]","[18, 10]","[12, 11]","[18, 14]","[25, 15]","[59, 16]"
2018全日本学生新人.pdf,"[10, 4]","[9, 5]","[1, 17]","[104, 18]","[20, 19]","[7, 20]","[17, 22]"
2013全国高校女子.pdf,"[61, 15]","[134, 25]"
2019kansai_senbatsu関西学生選抜.pdf,"[40, 18]"
2019U_kansai関西学生選手権.pdf,"[13, 12]","[65, 21]","[33, 24]"
2015全国高校選抜.pdf,"[24, 8]","[74, 9]","[3, 10]","[6, 23]","[100, 24]","[65, 25]","[30, 26]"
2012全日本学生個人.pdf,"[156, 18]"
2014全日本学生新人選手権.pdf,"[16, 4]","[123, 18]"
2022ALLJAPANマスターズ　最終結果.pdf,"[56, 19]","[178, 20]"
2021im.pdf,"[120, 20]"
2019hs_senbatsu全国高校選抜.pdf,"[10, 10]","[65, 11]","[98, 22]","[104, 23]"
2021-08-10_13_R3IH_result.pdf,"[41, 17]","[141, 18]","[306, 19]","[66, 24]"
2015全日本ジュニア選手権.pdf,"[10, 4]","[21, 5]","[16, 16]","[40, 17]","[61, 18]","[17, 19]","[2, 20]","[16, 21]","[16, 22]","[8, 23]"
2015社会人選手権.pdf,"[0, 1]","[0, 2]","[28, 6]","[28, 8]","[3, 12]","[59, 13]","[3, 17]","[16, 18]","[143, 21]"
2013全日本社会人ウエイトリフティング選手権.pdf,"[0, 1]","[0, 2]","[28, 6]","[28, 8]","[3, 12]","[52, 14]","[27, 17]","[132, 21]"
2014全国中学生大会.pdf,"[24, 6]","[11, 11]","[20, 12]","[3, 22]","[81, 24]"
2015西日本学生選手権.pdf,"[40, 14]","[146, 25]","[17, 26]"
2019JPN-CHN-KOR.pdf,"[11, 5]","[180, 6]","[91, 9]","[142, 10]","[12, 12]","[7, 14]","[6, 27]"
2018関西学生選手権.pdf,"[23, 16]","[86, 25]"
2018全日本学生個人.pdf,"[224, 21]"
2018東日本大学対抗.pdf,"[2, 4]","[21, 7]","[14, 12]","[30, 19]","[64, 20]","[17, 21]","[8, 22]"
2016高校総体.pdf,"[8, 13]","[34, 14]","[6, 15]","[386, 17]","[189, 18]"
2018全日本マスターズ選手権.pdf,"[192, 19]","[51, 20]"
2015レディースカップ.pdf,"[0, 2]","[60, 11]","[22, 12]","[27, 13]","[7, 14]","[14, 18]","[132, 22]"
2016全日本ジュニア.pdf,"[33, 5]","[3, 6]","[73, 17]","[39, 18]","[15, 19]","[38, 20]","[15, 21]"
2013西日本学生新人選手権.pdf,"[83, 18]"
2015東日本学生個人・新人選手権.pdf,"[18, 4]","[151, 18]"
2015全日本学生個人.pdf,"[155, 21]"
2014全国中学生選抜大会.pdf,"[7, 19]"
2018全国中学生選手権.pdf,"[134, 20]"
2016西日本学生選手権　女子.pdf,"[20, 16]","[45, 24]"
