event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2nd Annual Ralph Cashman Open Competition,2012-02-25,female,Elena Palamara,69.78,65,70,-73,80,85,90,70,90,160
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Bassel Rana,59.46,65,70,75,80,-90,90,75,90,165
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Alexander Chee,68.72,95,-100,-100,105,110,-115,95,110,205
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,J B,63.68,40,-45,45,60,65,-70,45,65,110
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Simon Rassy,74.35,75,-80,80,95,103,110,80,110,190
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Tom Davison,81.62,85,90,92,-120,122,-125,92,122,214
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Stephen Muldoon,81.17,85,90,-95,108,115,-123,90,115,205
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Patrick Canavan,84.03,75,80,85,90,100,108,85,108,193
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Benjamin Perrin,80.21,70,75,78,90,-100,100,78,100,178
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Andrew D'Ath-Weston,85.29,45,50,55,70,80,90,55,90,145
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Peter Ticehurst,88.13,40,-45,45,55,60,-65,45,60,105
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Stephen Johnstone,96.86,0,0,0,0,0,0,92,111,203
2nd Annual Ralph Cashman Open Competition,2012-02-25,male,Edward Mandla,97.88,75,-81,-86,95,-103,-103,75,95,170
