event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Isabella Lowe King,47.10,45,-48,48,56,59,61,48,61,109
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Michaela Warwick,54.55,68,71,73,78,81,-84,73,81,154
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Ashley Kolomoisky,57.55,-61,61,64,79,82,-85,64,82,146
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Ashleigh Huggins,57.40,-50,50,54,60,65,-69,54,65,119
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Tammy Hicks,62.35,60,-63,-63,77,-80,-80,60,77,137
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Ruoni Chen,62.65,50,54,57,65,69,72,57,72,129
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Lily Morrison,70.10,60,-64,-65,78,82,85,60,85,145
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Thanh Le,68.25,50,54,-57,65,70,73,54,73,127
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Naomi Chew,64.85,40,43,-46,60,65,68,43,68,111
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Skye Sriratana,72.70,63,67,69,83,86,-88,69,86,155
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,female,Pip Hughson,122.00,45,48,-50,55,58,-62,48,58,106
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Patrick Natoli,64.00,65,69,-73,85,-89,89,69,89,158
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Zonghan Yang,72.60,68,72,-76,70,75,-79,72,75,147
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Nicholas Heng,80.95,-90,-90,90,120,125,-130,90,125,215
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Sam Storer,76.85,65,75,82,95,105,112,82,112,194
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Marcus Moss,83.00,80,85,90,100,110,120,90,120,210
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Jack Smith,88.60,80,-86,-86,105,-110,-115,80,105,185
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,David Chen,95.10,90,95,-100,120,-125,125,95,125,220
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Riley Collins,91.40,79,84,90,96,100,106,90,106,196
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Caleb Davison,95.45,85,,,105,,,85,105,190
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Joshua Wheeler,93.85,45,49,53,62,68,75,53,75,128
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Joshua Cox,101.35,95,100,107,113,118,-123,107,118,225
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Adam Kabbas,96.75,90,95,100,110,115,,100,115,215
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Robert Patterson,99.85,90,-95,-95,125,-133,-135,90,125,215
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Joshua Quinn,122.45,110,117,123,130,137,142,123,142,265
HWC Australian Day Competition - Coffa Cup Round 1,2023-01-21,male,Marc Mansour,109.05,65,70,75,75,85,95,75,95,170
