event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Controlled Chaos Weightlifting Competition,2019-03-02,female,Ella Coppelia Mason,48.90,41,-43,43,54,-57,-57,43,54,97
Controlled Chaos Weightlifting Competition,2019-03-02,female,Holly Shawcross,54.95,-65,65,69,-83,83,86,69,86,155
Controlled Chaos Weightlifting Competition,2019-03-02,female,Amber Fielder,55.00,50,53,55,64,68,0,55,68,123
Controlled Chaos Weightlifting Competition,2019-03-02,female,Michelle Farfoud,51.90,36,-38,-38,52,55,56,36,56,92
Controlled Chaos Weightlifting Competition,2019-03-02,female,Bernadette Kinnane,52.70,30,32,-34,40,42,44,32,44,76
Controlled Chaos Weightlifting Competition,2019-03-02,female,Grace Macdonald,57.60,-53,53,-60,60,66,70,53,70,123
Controlled Chaos Weightlifting Competition,2019-03-02,female,Kelly Oliver,58.50,44,-48,-48,60,-64,64,44,64,108
Controlled Chaos Weightlifting Competition,2019-03-02,female,Jessica Orr,58.70,35,38,-42,50,-52,52,38,52,90
Controlled Chaos Weightlifting Competition,2019-03-02,female,Cynthia Vassiliou,56.70,30,36,-40,45,50,54,36,54,90
Controlled Chaos Weightlifting Competition,2019-03-02,female,Helena Macdonald,57.20,30,33,35,35,40,44,35,44,79
Controlled Chaos Weightlifting Competition,2019-03-02,female,Seen Lee,59.55,75,78,80,95,100,104,80,104,184
Controlled Chaos Weightlifting Competition,2019-03-02,female,Lydia Mccloskey,61.50,58,60,62,70,-75,75,62,75,137
Controlled Chaos Weightlifting Competition,2019-03-02,female,Steanne Mackay,61.80,35,40,45,65,70,-75,45,70,115
Controlled Chaos Weightlifting Competition,2019-03-02,female,Katrina Jorna,63.20,38,41,-43,48,51,-53,41,51,92
Controlled Chaos Weightlifting Competition,2019-03-02,female,Nicky Cummins,67.45,74,76,78,93,96,-98,78,96,174
Controlled Chaos Weightlifting Competition,2019-03-02,female,Marisa Mcfadden,70.00,58,-62,62,-88,88,-91,62,88,150
Controlled Chaos Weightlifting Competition,2019-03-02,female,Samantha Mcconnell,66.30,55,60,63,65,70,72,63,72,135
