event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Morgan Lund,50.50,30,33,-35,42,-45,45,33,45,78
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Halle Mifsud,57.70,40,45,50,65,70,75,50,75,125
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Tiana Lawton,63.70,47,51,53,63,66,-69,53,66,119
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Megan Shelley,63.90,40,42,-45,50,54,58,42,58,100
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Tiffany Chapman,69.00,45,-51,-51,60,65,-70,45,65,110
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Elysha Woodham,67.90,32,36,39,46,51,55,39,55,94
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Jakaia-Lee Collett,65.50,20,22,25,30,34,40,25,40,65
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Emily Wright,72.50,55,60,-65,72,75,80,60,80,140
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Makkedde Lowis,85.60,55,58,61,72,74,78,61,78,139
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,female,Caitlin Keevers,86.40,40,44,-48,57,62,67,44,67,111
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Max Strickland,56.40,30,35,38,42,46,51,38,51,89
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,David Gilpatrick,73.70,65,68,70,90,94,100,70,100,170
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,David Smith,74.00,65,67,69,0,0,0,69,0,0
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Chris Morganson,86.20,77,80,83,83,86,-90,83,86,169
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Jeff Gilbert,87.30,60,62,65,80,82,85,65,85,150
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Rob Innes,94.30,75,80,-87,-105,110,-115,80,110,190
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Alain Youdan,101.70,70,75,78,100,105,-110,78,105,183
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Kelly Weatherstone,108.00,110,116,121,-135,-140,140,121,140,261
2020 Qld Club Challenge - Townsville - Round 1,2020-01-11,male,Lachlan Keevers,114.10,70,80,-85,100,-110,112,80,112,192
