event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Presidents Cup Final,2023-12-02,female,Ava Pickrell,52.06,40,42,45,48,51,54,45,54,99
Presidents Cup Final,2023-12-02,female,Jemma Berwick,51.06,27,29,-32,36,39,-42,29,39,68
Presidents Cup Final,2023-12-02,female,Shaziye Parish,59.00,50,53,-55,69,72,75,53,75,128
Presidents Cup Final,2023-12-02,female,Charlotte Mchardy,56.86,20,23,25,26,29,31,25,31,56
Presidents Cup Final,2023-12-02,female,Madeline Bennett,63.40,55,-58,58,75,78,-80,58,78,136
Presidents Cup Final,2023-12-02,female,Genevieve Smith,62.20,37,-42,42,50,55,58,42,58,100
Presidents Cup Final,2023-12-02,female,Lucy Reinmuth-Lewis,68.12,-35,-39,-39,45,50,55,0,55,0
Presidents Cup Final,2023-12-02,female,Chloe Bone,76.38,38,41,44,-57,59,62,44,62,106
Presidents Cup Final,2023-12-02,female,Danielle Pickrell,82.44,60,63,-66,80,-83,83,63,83,146
Presidents Cup Final,2023-12-02,female,Bridget Martin,95.04,75,-81,-81,-95,98,-105,75,98,173
Presidents Cup Final,2023-12-02,female,Abbey Boon,113.08,57,60,62,67,70,73,62,73,135
Presidents Cup Final,2023-12-02,female,Jewel Banks,113.58,55,-58,-60,70,-73,-73,55,70,125
Presidents Cup Final,2023-12-02,male,Michael Pickrell,66.78,73,76,78,100,-103,-103,78,100,178
Presidents Cup Final,2023-12-02,male,Christopher Kemp,72.68,32,36,40,45,48,50,40,50,90
Presidents Cup Final,2023-12-02,male,Aiden Thurm,76.76,-45,45,-51,57,62,-70,45,62,107
Presidents Cup Final,2023-12-02,male,Seth Fox,88.44,80,85,90,110,115,120,90,120,210
Presidents Cup Final,2023-12-02,male,Changhun Han,88.16,91,-95,-96,110,-115,-116,91,110,201
Presidents Cup Final,2023-12-02,male,Matthew White,87.34,83,86,-90,107,112,115,86,115,201
Presidents Cup Final,2023-12-02,male,Joshua Fletcher,87.46,85,-90,-90,105,-112,-115,85,105,190
Presidents Cup Final,2023-12-02,male,Henry Hodgetts,92.92,60,65,-66,-70,-70,70,65,70,135
Presidents Cup Final,2023-12-02,male,Tim Boys,106.48,104,108,111,133,-138,141,111,141,252
Presidents Cup Final,2023-12-02,male,Ky Wittich,106.86,90,95,98,120,124,-128,98,124,222
Presidents Cup Final,2023-12-02,male,Sindri Chapman,104.32,77,-81,81,100,105,-110,81,105,186
Presidents Cup Final,2023-12-02,male,Damian Liddell,109.92,60,65,-70,80,90,97,65,97,162
