event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
In2Performance Series 1,2023-04-15,female,Tessa Job,54.90,65,70,-75,88,92,96,70,96,166
In2Performance Series 1,2023-04-15,female,Eliza Sabaliauskas,54.80,-58,58,60,78,82,-84,60,82,142
In2Performance Series 1,2023-04-15,female,T'Mir Julius,53.80,41,43,-44,53,-54,-54,43,53,96
In2Performance Series 1,2023-04-15,female,Ashleigh Huggins,56.80,50,-54,57,63,67,70,57,70,127
In2Performance Series 1,2023-04-15,female,Hope Giacoppo,57.30,43,46,-50,-58,-58,-60,46,0,0
In2Performance Series 1,2023-04-15,female,Ruoni Chen,61.40,57,60,63,70,74,77,63,77,140
In2Performance Series 1,2023-04-15,female,Hannah Carrison,62.25,46,-50,-50,60,64,-68,46,64,110
In2Performance Series 1,2023-04-15,female,Jenny Law,60.25,35,38,40,-42,42,-48,40,42,82
In2Performance Series 1,2023-04-15,female,Alice Masman,69.30,61,65,67,75,-78,78,67,78,145
In2Performance Series 1,2023-04-15,female,Samantha O'Reilly,68.70,50,55,58,70,74,77,58,77,135
In2Performance Series 1,2023-04-15,female,Thanh Le,68.90,50,54,57,70,73,-76,57,73,130
In2Performance Series 1,2023-04-15,female,Naomi Chew,64.55,40,43,46,60,65,68,46,68,114
In2Performance Series 1,2023-04-15,female,Skye Sriratana,72.35,68,71,-73,85,90,,71,90,161
In2Performance Series 1,2023-04-15,female,Kate Linford,112.90,60,65,-68,80,86,88,65,88,153
In2Performance Series 1,2023-04-15,female,Jayde Priestley,112.60,53,-57,-57,75,80,84,53,84,137
In2Performance Series 1,2023-04-15,male,Candy Be Nyo,63.50,72,77,80,90,95,-100,80,95,175
In2Performance Series 1,2023-04-15,male,James Delaney,72.55,100,105,-110,130,135,140,105,140,245
In2Performance Series 1,2023-04-15,male,Nicholas Heng,80.10,85,92,-96,121,127,-132,92,127,219
In2Performance Series 1,2023-04-15,male,Jason Shiff,78.75,85,92,-94,108,116,118,92,118,210
In2Performance Series 1,2023-04-15,male,Anthony Greco,79.00,65,70,75,92,-97,97,75,97,172
In2Performance Series 1,2023-04-15,male,Troy Hewkins,88.75,105,110,-115,120,130,141,110,141,251
In2Performance Series 1,2023-04-15,male,Ethan Mcgrath,88.50,85,92,-95,108,112,116,92,116,208
In2Performance Series 1,2023-04-15,male,David Jaboor,84.45,53,56,-60,80,85,-90,56,85,141
In2Performance Series 1,2023-04-15,male,Nicholas Da Cruz,93.40,105,-110,113,123,128,135,113,135,248
In2Performance Series 1,2023-04-15,male,Longlong Yu,89.65,100,-106,106,123,,,106,123,229
In2Performance Series 1,2023-04-15,male,David Chen,94.55,90,95,98,-120,121,-127,98,121,219
In2Performance Series 1,2023-04-15,male,Riley Collins,94.85,83,88,92,100,106,110,92,110,202
In2Performance Series 1,2023-04-15,male,George Weston,100.30,113,118,122,143,-149,149,122,149,271
