event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,CHU Xiwang,55.61,125,-130,130,150,-158,-158,130,150,280
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,WU Meijin,54.86,-115,115,120,150,-158,-158,120,150,270
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,LUKANIN Vladislav,55.71,115,120,-122.5,145,-152.5,-152.5,120,145,265
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,YANG Chin-Yi,54.91,110,-120,-120,140,0,0,110,140,250
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,FIGUEROA MOSQUERA Oscar Albeiro,55.45,-105,105,110,132.5,135,-140,110,135,245
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,GULBEYI Akti,55.50,-105,105,110,130,-135,-137.5,110,130,240
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,SAIA Carmelo,55.44,-107.5,-107.5,107.5,122.5,127.5,-130,107.5,127.5,235
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,SALAZAR QUINTERO Diego Fernando,55.52,100,105,107.5,-130,130,132.5,107.5,132.5,240
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,OKSUZ Mehmet,55.82,107.5,-112.5,-112.5,125,132.5,-137.5,107.5,132.5,240
26th MEN's and 6th WOMEN's JUNIOR WORLD CHAMPIONSHIPS,2000-07-02,56 kg Men,SEKIKAWA Yasunobu,55.72,105,-110,-110,125,130,-135,105,130,235
