event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
European Youth Championships,2022-08-10,49 kg Men,CHOLAKYAN Mikayel,48.80,73,79,81,85,92,101,81,101,182
European Youth Championships,2022-08-10,49 kg Men,STANEV Martin,48.90,-70,70,80,80,87,-100,80,87,167
European Youth Championships,2022-08-10,55 kg Men,ISOFACHE Cosmin Florentin,54.35,98,102,105,119,-124,125,105,125,230
European Youth Championships,2022-08-10,55 kg Men,ODIKADZE Giga,54.30,97,101,-104,116,120,-124,101,120,221
European Youth Championships,2022-08-10,55 kg Men,GRIGORYAN Zhora,54.70,95,100,-103,118,122,125,100,125,225
European Youth Championships,2022-08-10,55 kg Men,BADANEV Ion,54.70,95,99,-102,-114,114,-120,99,114,213
European Youth Championships,2022-08-10,55 kg Men,COMERZAN Andrian,54.70,-85,85,-88,104,-109,109,85,109,194
European Youth Championships,2022-08-10,55 kg Men,GORALSKI Szymon,54.70,80,82,85,101,-105,105,85,105,190
European Youth Championships,2022-08-10,55 kg Men,SHKODA Yevhen,53.70,70,74,76,95,100,-104,76,100,176
European Youth Championships,2022-08-10,61 kg Men,DIACONU Iulian Mihai,60.55,105,109,112,115,120,-125,112,120,232
European Youth Championships,2022-08-10,61 kg Men,PIETRZAK Hubert,60.60,108,-111,111,130,137,-141,111,137,248
European Youth Championships,2022-08-10,61 kg Men,LAMPRIDIS Konstantinos,60.35,-105,105,109,134,140,-142,109,140,249
European Youth Championships,2022-08-10,61 kg Men,SCARANTINO Claudio,60.60,100,105,108,126,130,-133,108,130,238
European Youth Championships,2022-08-10,61 kg Men,HUNANYAN Armen,60.35,98,-102,102,120,128,-133,102,128,230
European Youth Championships,2022-08-10,61 kg Men,ISMAYILOV Gasim,60.80,-101,101,-106,127,132,-138,101,132,233
European Youth Championships,2022-08-10,61 kg Men,BORISOV Stancho,60.80,85,90,-93,106,110,116,90,116,206
European Youth Championships,2022-08-10,61 kg Men,LYSHEHA Serhii,60.25,85,90,-94,108,115,-125,90,115,205
European Youth Championships,2022-08-10,61 kg Men,VENKOV Zahari,61.00,88,-92,-92,110,115,-119,88,115,203
European Youth Championships,2022-08-10,61 kg Men,NYBERG Alexander,60.25,84,-87,-87,104,108,112,84,112,196
European Youth Championships,2022-08-10,67 kg Men,DONOSE Tiberiu Ionut,66.80,125,127,130,149,-153,153,130,153,283
European Youth Championships,2022-08-10,67 kg Men,ALMAMMADOV Ravin,66.95,117,122,126,151,155,158,126,158,284
European Youth Championships,2022-08-10,67 kg Men,SAYIN Alaaddin,66.20,117,120,123,151,161,-162,123,161,284
European Youth Championships,2022-08-10,67 kg Men,POGHOSYAN Martin,66.70,115,-119,120,-150,152,-158,120,152,272
European Youth Championships,2022-08-10,67 kg Men,BURSKI Bartosz,66.55,109,114,117,135,-145,-145,117,135,252
European Youth Championships,2022-08-10,67 kg Men,PONOMARENKO Yaroslav,66.65,105,109,-112,135,140,145,109,145,254
European Youth Championships,2022-08-10,67 kg Men,STEFANOV Petyo,66.70,98,103,-108,119,124,129,103,129,232
European Youth Championships,2022-08-10,67 kg Men,EE Silver,65.25,97,-101,101,120,-123,-123,101,120,221
European Youth Championships,2022-08-10,67 kg Men,KLINGER Jonas,66.35,-99,-99,99,118,-123,-123,99,118,217
European Youth Championships,2022-08-10,67 kg Men,AUNE Rasmus Heggvik,67.00,93,97,-99,125,128,-130,97,128,225
European Youth Championships,2022-08-10,67 kg Men,PATERNOSTER Janez,66.50,86,-90,92,112,-118,-119,92,112,204
European Youth Championships,2022-08-10,73 kg Men,OCHIGAVA Levan,72.65,127,130,132,152,157,159,132,159,291
European Youth Championships,2022-08-10,73 kg Men,DADERKO Vitalii,72.65,123,127,131,148,-153,153,131,153,284
European Youth Championships,2022-08-10,73 kg Men,DEMCHYSHYN Maksym,72.70,122,126,-129,152,-159,159,126,159,285
European Youth Championships,2022-08-10,73 kg Men,KARACA Yasar,72.55,121,124,-127,-160,160,163,124,163,287
European Youth Championships,2022-08-10,73 kg Men,TANASOIU Mihaita Constantin,72.20,116,-121,121,150,155,-158,121,155,276
European Youth Championships,2022-08-10,73 kg Men,GHAHRAMANYAN Hovhannes,72.35,120,-124,-126,150,-155,-158,120,150,270
European Youth Championships,2022-08-10,73 kg Men,MAJSY Dawid Dariusz,72.60,-115,115,120,140,148,-151,120,148,268
European Youth Championships,2022-08-10,73 kg Men,HAKOBYAN Hayrapet,72.10,115,118,-121,140,-145,-146,118,140,258
European Youth Championships,2022-08-10,73 kg Men,STAVARSZ Adam,72.50,111,-115,-115,-130,130,-134,111,130,241
European Youth Championships,2022-08-10,73 kg Men,HAUTANIEMI Eetu Matias,72.55,105,109,-111,130,133,135,109,135,244
European Youth Championships,2022-08-10,73 kg Men,NIKOLAEV Nikolay,72.45,105,-110,-112,-126,-126,126,105,126,231
European Youth Championships,2022-08-10,73 kg Men,GOSPODINOV Toshko,72.65,100,105,-110,125,131,-134,105,131,236
European Youth Championships,2022-08-10,73 kg Men,BORG Rylee,71.55,95,-98,-98,-120,120,123,95,123,218
European Youth Championships,2022-08-10,73 kg Men,PUUSEPP Even,72.20,87,92,-96,107,112,115,92,115,207
European Youth Championships,2022-08-10,81 kg Men,ESARTIA Nikoloz,80.50,135,139,-143,165,170,176,139,176,315
European Youth Championships,2022-08-10,81 kg Men,KTITAREV Viacheslav,77.30,125,129,133,147,-157,-157,133,147,280
European Youth Championships,2022-08-10,81 kg Men,FALSINOTTI Iacopo,80.70,128,130,-134,157,0,0,130,157,287
European Youth Championships,2022-08-10,81 kg Men,BEREZIN Hlib,75.95,-114,114,118,142,148,-152,118,148,266
European Youth Championships,2022-08-10,81 kg Men,URBANS Madis,77.30,-110,-110,110,135,139,143,110,143,253
European Youth Championships,2022-08-10,81 kg Men,ANGELIS Athanasios,79.20,97,100,104,124,127,-131,104,127,231
European Youth Championships,2022-08-10,81 kg Men,MANDERBACKA Miro Juhani,80.45,100,103,-105,121,-124,-125,103,121,224
European Youth Championships,2022-08-10,81 kg Men,MARIEN Berend,80.20,98,102,-105,124,127,-129,102,127,229
European Youth Championships,2022-08-10,81 kg Men,PRANNI Hannes,78.50,98,-102,102,123,126,-128,102,126,228
European Youth Championships,2022-08-10,81 kg Men,DIERICKX Tibo,80.15,100,-103,-103,115,119,-123,100,119,219
European Youth Championships,2022-08-10,81 kg Men,PAGACIK Filip,79.65,100,-105,-106,120,-125,125,100,125,225
European Youth Championships,2022-08-10,81 kg Men,ZUBOR Arthur,79.60,-100,100,-105,-130,130,-135,100,130,230
European Youth Championships,2022-08-10,81 kg Men,MODREY Luca,75.50,-100,100,-104,130,132,136,100,136,236
European Youth Championships,2022-08-10,81 kg Men,KANTOR Martin,80.10,93,-98,-98,127,132,-138,93,132,225
European Youth Championships,2022-08-10,89 kg Men,KOFSHA Ertjan,82.50,135,140,-145,161,165,168,140,168,308
European Youth Championships,2022-08-10,89 kg Men,CIUBOTARU Daniel-Calin,88.30,130,135,139,154,159,-162,139,159,298
European Youth Championships,2022-08-10,89 kg Men,ASLAN Mustafa Berke,87.90,-132,132,-139,156,163,167,132,167,299
European Youth Championships,2022-08-10,89 kg Men,MARGULIS Yanush,85.70,121,126,-131,140,145,150,126,150,276
European Youth Championships,2022-08-10,89 kg Men,POGHOSYAN Romik,84.85,120,125,-128,-152,152,160,125,160,285
European Youth Championships,2022-08-10,89 kg Men,DZIAMSKI Kacper,87.00,115,120,123,150,155,-163,123,155,278
European Youth Championships,2022-08-10,89 kg Men,KOLAR David,86.65,119,-123,123,143,146,-149,123,146,269
European Youth Championships,2022-08-10,89 kg Men,NYZOVYI Yaroslav,87.85,115,-120,120,135,142,-150,120,142,262
European Youth Championships,2022-08-10,89 kg Men,NAGY Zsolt,87.45,112,-117,118,138,-147,147,118,147,265
European Youth Championships,2022-08-10,89 kg Men,WILLIAMS Frankie,86.70,-113,113,117,135,-140,-140,117,135,252
European Youth Championships,2022-08-10,89 kg Men,MAZNIK Vladislav,88.35,117,-123,-124,136,-140,0,117,136,253
European Youth Championships,2022-08-10,89 kg Men,BENKA Roman,83.20,95,-99,99,115,120,-125,99,120,219
European Youth Championships,2022-08-10,89 kg Men,KIIVITS Aimar,84.50,81,87,90,99,105,-110,90,105,195
European Youth Championships,2022-08-10,96 kg Men,TABAGARI Gervasi,93.25,130,135,139,165,173,181,139,181,320
European Youth Championships,2022-08-10,96 kg Men,BOROVSKYI Andrii,89.65,122,127,130,148,-154,-156,130,148,278
European Youth Championships,2022-08-10,96 kg Men,ADAMIA Saba,91.25,123,-128,130,154,159,163,130,163,293
European Youth Championships,2022-08-10,96 kg Men,SHPYCHKA Andrii,95.00,121,126,129,-147,-148,-148,129,0,0
European Youth Championships,2022-08-10,96 kg Men,ANGELOV Tanislav,92.95,120,125,128,147,155,158,128,158,286
European Youth Championships,2022-08-10,96 kg Men,MARGARYAN Ashot,90.30,122,-128,128,151,157,159,128,159,287
European Youth Championships,2022-08-10,96 kg Men,ZIOLKOWSKI Marcin,90.75,123,-128,-130,144,149,153,123,153,276
European Youth Championships,2022-08-10,96 kg Men,VILCU Nicu Alexandru,89.60,115,120,123,140,145,150,123,150,273
European Youth Championships,2022-08-10,96 kg Men,BOZKURT Kadir,93.50,117,120,-124,153,158,-160,120,158,278
European Youth Championships,2022-08-10,96 kg Men,ZAMOSNY Karol,91.75,108,112,117,133,-138,140,117,140,257
European Youth Championships,2022-08-10,96 kg Men,YANCHEV Diyan,95.40,105,110,113,133,138,-142,113,138,251
European Youth Championships,2022-08-10,96 kg Men,AKUJARVI Jonne,94.65,-110,-110,110,135,-141,-145,110,135,245
European Youth Championships,2022-08-10,96 kg Men,TZAMPAZAKIS Antonios,92.15,105,-109,-109,125,130,-134,105,130,235
European Youth Championships,2022-08-10,102 kg Men,KIYMET Sami Baki,98.30,122,126,131,155,160,165,131,165,296
European Youth Championships,2022-08-10,102 kg Men,GINEIKIS Neilas,98.25,120,125,130,140,145,150,130,150,280
European Youth Championships,2022-08-10,102 kg Men,MATUSZEWSKI Damian,101.15,112,118,122,145,-151,-159,122,145,267
European Youth Championships,2022-08-10,102 kg Men,STRAPEC Simon,101.10,-104,106,111,134,139,143,111,143,254
European Youth Championships,2022-08-10,+102 kg Men,MACURA Vladimir,132.90,140,-148,148,170,177,-180,148,177,325
European Youth Championships,2022-08-10,+102 kg Men,GEORGIEV Angel,127.30,131,136,139,162,167,172,139,172,311
European Youth Championships,2022-08-10,+102 kg Men,GUGALA Marek Mateusz,123.00,130,135,138,162,167,-172,138,167,305
European Youth Championships,2022-08-10,+102 kg Men,CHRYSOCHOIDIS Alexandros,132.00,125,130,-136,170,176,182,130,182,312
European Youth Championships,2022-08-10,+102 kg Men,OSUCH Borys,131.60,125,130,-133,157,162,-165,130,162,292
European Youth Championships,2022-08-10,+102 kg Men,VALI Roomet,112.70,110,115,118,138,143,-147,118,143,261
European Youth Championships,2022-08-10,+102 kg Men,MANOMICS Gergo,127.00,-115,115,-119,145,148,-153,115,148,263
European Youth Championships,2022-08-10,40 kg Women,NAUMOVA Sofiia,39.75,45,47,49,55,-57,58,49,58,107
European Youth Championships,2022-08-10,40 kg Women,AKARSU Ceren,40.00,43,46,-49,56,62,-65,46,62,108
European Youth Championships,2022-08-10,40 kg Women,REMEZAITE Brigita,39.50,35,38,40,-45,45,48,40,48,88
European Youth Championships,2022-08-10,45 kg Women,KILIC EZGI,44.90,58,60,63,71,75,-78,63,75,138
European Youth Championships,2022-08-10,45 kg Women,MIRON Ioana Madalina,43.75,56,59,62,73,77,80,62,80,142
European Youth Championships,2022-08-10,45 kg Women,CAFFO Rebecca,44.70,-55,55,-60,66,-71,73,55,73,128
European Youth Championships,2022-08-10,45 kg Women,BERLINSKA Zofia,44.80,50,52,-54,-60,-61,61,52,61,113
European Youth Championships,2022-08-10,45 kg Women,RUSEVA Reni,44.70,51,-53,-54,60,-63,63,51,63,114
European Youth Championships,2022-08-10,45 kg Women,KALACA Nejla,44.65,-42,-43,43,52,-55,-55,43,52,95
European Youth Championships,2022-08-10,49 kg Women,GRIGORYAN Aleksandra,48.55,67,70,73,85,90,94,73,94,167
European Youth Championships,2022-08-10,49 kg Women,MAISURADZE Mariam,48.60,66,69,72,84,-88,88,72,88,160
European Youth Championships,2022-08-10,49 kg Women,ANGELINI Tina Maria Luisa,48.70,-66,67,69,72,-75,-77,69,72,141
European Youth Championships,2022-08-10,49 kg Women,KIRAT Bahar,48.95,64,-67,68,-83,-86,-86,68,0,0
European Youth Championships,2022-08-10,49 kg Women,DRZAZGA OLIWIA Weronika,48.55,65,-68,68,87,-93,93,68,93,161
European Youth Championships,2022-08-10,49 kg Women,HORDIIAN Kateryna,48.90,56,-58,58,69,72,76,58,76,134
European Youth Championships,2022-08-10,49 kg Women,POPESCU Alina,48.40,55,57,-59,67,-70,-71,57,67,124
European Youth Championships,2022-08-10,49 kg Women,MCNAUGHTON Jorja,48.30,-53,53,55,62,-64,-64,55,62,117
European Youth Championships,2022-08-10,49 kg Women,POSTILA Saara,48.65,53,-56,-57,62,-65,65,53,65,118
European Youth Championships,2022-08-10,55 kg Women,THORNTON Tenishia,54.85,76,78,80,96,-100,-101,80,96,176
European Youth Championships,2022-08-10,55 kg Women,DELIA Celine Ludovica,53.80,70,-75,77,90,95,-100,77,95,172
European Youth Championships,2022-08-10,55 kg Women,ILDEN Merve,54.80,-68,-68,68,83,86,88,68,88,156
European Youth Championships,2022-08-10,55 kg Women,PRIGENT MADEC Theoline,54.90,-65,65,-69,82,-86,-87,65,82,147
European Youth Championships,2022-08-10,55 kg Women,GHIHANIS Maria,54.80,64,-67,-67,84,88,-93,64,88,152
European Youth Championships,2022-08-10,55 kg Women,MISAKYAN Meri,54.75,-64,-64,64,81,84,-89,64,84,148
European Youth Championships,2022-08-10,55 kg Women,DE WISPELAERE Julie,53.35,63,-66,-66,76,-80,-80,63,76,139
European Youth Championships,2022-08-10,55 kg Women,PONIATOWSKA Nina,54.85,60,63,-65,77,80,-83,63,80,143
European Youth Championships,2022-08-10,55 kg Women,MORCK Ida,54.50,59,62,-65,75,79,-83,62,79,141
European Youth Championships,2022-08-10,55 kg Women,KECSKES Karina,54.90,-62,-62,62,80,-85,85,62,85,147
