event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 109+Kg,Adam Pugh,118.1,100,107,112,135,142,-155,112,142,254
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 109Kg,Michael Colley,103.6,-102,-102,102,130,135,-140,102,135,237
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 81Kg,Matthew Steele,78.7,101,104,-107,120,-124,-124,104,120,224
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 81Kg,luke mander,80.7,94,-97,-100,130,-135,-135,94,130,224
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 81Kg,Christopher ABBOTT,81,95,100,-105,115,120,-125,100,120,220
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Junior Under 20 96Kg,Harry Molinario,89.8,85,90,-93,120,-122,122,90,122,212
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 81Kg,Matt Reid,76,85,-89,-89,105,111,116,85,116,201
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 73Kg,Luis Ruiz,71.8,80,-84,87,100,106,113,87,113,200
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Masters (40-44) 81Kg,Neil Wharton,80.9,77,80,83,107,110,113,83,113,196
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Under 23 89Kg,Emmanuel Simukwayi,87,75,-80,81,105,110,115,81,115,196
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Masters (40-44) 81Kg,Michal Czerep,78.6,82,-87,-87,102,107,-110,82,107,189
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Junior Under 20 89Kg,Thomas Volpato,83.8,-76,76,79,93,97,100,79,100,179
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Masters (40-44) 73Kg,Adam Kudryl,72.8,70,75,-80,90,95,-100,75,95,170
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Masters (35-39) 81Kg,Mat Dennis,80.3,65,-68,68,92,-96,96,68,96,164
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 81Kg,Tiago Nunes,76.2,-65,65,-75,85,90,-95,65,90,155
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 81Kg,Aaron FitzGerald,73.1,63,66,70,73,77,81,70,81,151
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 87+Kg,Victoria Strudwick,91.7,60,65,-67,75,80,85,65,85,150
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 71Kg,Charlotte Gregory,70.6,59,63,67,77,81,-85,67,81,148
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Youth Under 15 89Kg,William Hill,85.5,58,61,65,73,78,82,65,82,147
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 71Kg,Katie Street,69.4,60,-63,63,78,80,83,63,83,146
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 64Kg,Tessa Phillips,63.6,60,65,68,70,75,-78,68,75,143
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 59Kg,Sophie Asker,58.3,58,61,64,70,73,-75,64,73,137
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 89Kg,Josh Bridgeman,81.8,50,53,56,70,75,80,56,80,136
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 55Kg,Kayleigh-Anne Steele,55,55,58,-60,77,-80,-80,58,77,135
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 109+Kg,Russ Freeman,128.2,50,54,-58,70,75,-80,54,75,129
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 55Kg,Samantha Briones,54,57,-60,-60,68,71,-75,57,71,128
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 67Kg,Paul Hawkins,65.4,47,50,-53,70,-73,75,50,75,125
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Masters (35-39) 89Kg,Michael Patterson,81.7,45,50,52,65,70,72,52,72,124
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 81Kg,Emily Nordvang,80.4,45,50,55,55,60,65,55,65,120
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 71Kg,Amie Burridge,64.6,47,50,53,60,63,66,53,66,119
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 76Kg,Mercedesz Molnar,75.6,40,42,45,60,65,70,45,70,115
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 59Kg,Alice Makepeace Smith,58.9,48,51,-53,56,-61,61,51,61,112
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 64Kg,Natasha Hood,62.7,45,48,51,55,-59,59,51,59,110
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Masters (35-39) 64Kg,Clare Foreshaw,63,40,44,-48,-62,62,64,44,64,108
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 71Kg,Michaela New,70.2,40,43,46,50,56,60,46,60,106
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 59Kg,Sarah Hattee,58.5,40,43,-46,58,-60,60,43,60,103
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 71Kg,Bruna Costa,64.6,42,44,46,55,57,-60,46,57,103
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 76Kg,Sydonie Brewis,75.8,35,40,43,55,57,60,43,60,103
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 64Kg,Catherine Donnelly,61.7,38,43,-47,55,58,-61,43,58,101
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Masters (35-39) 71Kg,Francesca Webb,70.8,42,44,46,52,55,-57,46,55,101
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 87+Kg,Erika O’Brien,151.2,40,43,45,50,-53,53,45,53,98
BWL Midlands Open Series 3 - 2019,2019-10-26,Men's Senior 89Kg,Eduards Eihenbaums,87.6,-75,-57,-75,95,97,98,0,98,98
BWL Midlands Open Series 3 - 2019,2019-10-26,Women's Senior 76Kg,Nicola Colley,72.3,36,-38,-40,45,-50,50,36,50,86
