event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
London Series 2 2018,2018-04-28,Men's Senior 105Kg,Prosper Armstrong,103.55,125,-130,-130,165,173,-180,125,173,298
London Series 2 2018,2018-04-28,Men's Senior 105Kg,James Daley,102.2,113,-122,122,148,151,-154,122,151,273
London Series 2 2018,2018-04-28,Men's Senior 105Kg,Henry Woodason,104,113,-118,-120,130,135,140,113,140,253
London Series 2 2018,2018-04-28,Men's Senior 77Kg,Mitchell Mason,76.45,-110,110,113,133,-140,140,113,140,253
London Series 2 2018,2018-04-28,Men's Senior 105Kg,Andreas Fourouclas,101.05,108,113,-115,135,140,-145,113,140,253
London Series 2 2018,2018-04-28,Men's Senior 105Kg,Oliver Wilmot,96.9,105,-110,-111,-125,125,-130,105,125,230
London Series 2 2018,2018-04-28,Men's Senior 85Kg,Joe Kelly,83.65,86,90,92,110,-115,120,92,120,212
London Series 2 2018,2018-04-28,Men's Senior 85Kg,Henry Friend,80,93,97,-102,105,111,-113,97,111,208
London Series 2 2018,2018-04-28,Men's Senior 77Kg,Glen Jacobs,75.9,80,85,-90,110,115,120,85,120,205
London Series 2 2018,2018-04-28,Men's Youth Under 17 77Kg,Jacob Finnigan,72.2,85,88,90,108,111,113,90,113,203
London Series 2 2018,2018-04-28,Men's Under 23 69Kg,Dawid Danych,68.6,-83,83,86,109,114,-117,86,114,200
London Series 2 2018,2018-04-28,Men's Senior 85Kg,Harrison Oxley,80.9,82,85,88,-107,109,112,88,112,200
London Series 2 2018,2018-04-28,Women's Senior 69Kg,Grace Lilley,66.4,83,86,89,92,96,-101,89,96,185
London Series 2 2018,2018-04-28,Men's Youth Under 17 85Kg,Matt Hill,79.6,75,0,0,100,-105,106,75,106,181
London Series 2 2018,2018-04-28,Men's Junior Under 20 69Kg,Kyran Millard,67,78,-81,82,93,98,-101,82,98,180
London Series 2 2018,2018-04-28,Men's Senior 77Kg,Joao Regateiro,70.35,70,74,78,94,98,102,78,102,180
London Series 2 2018,2018-04-28,Men's Senior 77Kg,Lee Adams,75.75,-75,75,-80,95,100,-105,75,100,175
London Series 2 2018,2018-04-28,Women's Senior 63Kg,Olivia Blatch,58.56,73,76,79,90,95,-100,79,95,174
London Series 2 2018,2018-04-28,Women's Senior 69Kg,Emma Robinson,65.62,70,72,74,89,92,-95,74,92,166
London Series 2 2018,2018-04-28,Women's Senior 90Kg,Alexandra von Haselberg-Palyvou,81.8,-68,70,-74,85,90,-95,70,90,160
London Series 2 2018,2018-04-28,Women's Senior 75Kg,Miriam Messmer,72.5,67,69,-71,84,87,-90,69,87,156
London Series 2 2018,2018-04-28,Men's Youth Under 17 69Kg,Owen Millard,65.55,62,65,67,83,86,-90,67,86,153
London Series 2 2018,2018-04-28,Women's Senior +90Kg,Emily Campbell,90.5,-60,60,-65,-87,87,-93,60,87,147
London Series 2 2018,2018-04-28,Women's Senior 75Kg,Chloé Cassar,71.82,60,-65,66,75,80,-84,66,80,146
London Series 2 2018,2018-04-28,Women's Senior 69Kg,Catherine Finch,66.7,56,59,61,79,82,-85,61,82,143
London Series 2 2018,2018-04-28,Women's Senior 53Kg,Loridana Bavetta,49.37,55,58,61,77,-81,-82,61,77,138
London Series 2 2018,2018-04-28,Men's Senior 85Kg,Daniel Hayes,83.2,55,-57,-57,65,68,71,55,71,126
London Series 2 2018,2018-04-28,Women's Senior 75Kg,Fran Goble,72.9,45,50,53,60,-65,65,53,65,118
London Series 2 2018,2018-04-28,Women's Senior 75Kg,Chelsea McKenzie,74.5,50,-54,-55,62,66,-70,50,66,116
London Series 2 2018,2018-04-28,Women's Senior 75Kg,Beate Mueller,74.4,42,44,47,60,64,68,47,68,115
London Series 2 2018,2018-04-28,Women's Senior 69Kg,rachel hunt,67.2,40,42,45,60,63,67,45,67,112
London Series 2 2018,2018-04-28,Women's Junior Under 20 53Kg,Taslima Begum,48.09,40,44,48,60,64,-68,48,64,112
London Series 2 2018,2018-04-28,Women's Senior 63Kg,Vindhya Gobin,62.6,47,-50,-51,57,-60,60,47,60,107
London Series 2 2018,2018-04-28,Women's Youth Under 17 69Kg,Olivia Sharp,67.6,45,-49,-49,54,59,-64,45,59,104
London Series 2 2018,2018-04-28,Women's Senior 69Kg,Layla Wakrim,66.3,38,42,-45,55,59,-63,42,59,101
London Series 2 2018,2018-04-28,Women's Youth Under 15 48Kg,Natasha Ahmed,46.5,34,36,38,-38,38,40,38,40,78
London Series 2 2018,2018-04-28,Men's Senior 77Kg,Izaak Wilson,75.6,-102,-105,-105,0,0,0,0,0,0
London Series 2 2018,2018-04-28,Women's Senior 90Kg,Samantha Williams,84.9,-70,-70,-70,0,0,0,0,0,0
