event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
LOWA invitational 2 2018,2018-10-19,Men's Senior 102Kg,David Harding-Prior,102,125,-130,-140,145,-155,-160,125,145,270
LOWA invitational 2 2018,2018-10-19,Men's Senior 109Kg,Henry Woodason,107.3,120,125,-130,136,144,-149,125,144,269
LOWA invitational 2 2018,2018-10-19,Men's Senior 109Kg,Richard Munro,109,108,114,-120,130,-137,-144,114,130,244
LOWA invitational 2 2018,2018-10-19,Men's Senior 96Kg,Thomas Wain,95.4,95,100,-103,125,-130,130,100,130,230
LOWA invitational 2 2018,2018-10-19,Men's Senior 109Kg,Alexander Loosley,106.6,92,96,100,112,116,120,100,120,220
LOWA invitational 2 2018,2018-10-19,Men's Senior 89Kg,Oliver Jones,88,-85,85,90,100,-110,110,90,110,200
LOWA invitational 2 2018,2018-10-19,Men's Senior 73Kg,Henry Li,72.6,77,82,86,95,102,110,86,110,196
LOWA invitational 2 2018,2018-10-19,Men's Senior 67Kg,Jed Casco,66.5,81,-86,86,100,108,-112,86,108,194
LOWA invitational 2 2018,2018-10-19,Men's Masters (40-44) 102Kg,Iheke Ndukwe,102,-80,80,0,100,110,0,80,110,190
LOWA invitational 2 2018,2018-10-19,Women's Senior 87Kg,Jessica Silva,85,72,76,80,92,-96,100,80,100,180
LOWA invitational 2 2018,2018-10-19,Men's Masters (35-39) 89Kg,Mark Butcher,86,71,75,79,86,89,92,79,92,171
LOWA invitational 2 2018,2018-10-19,Men's Masters (45-49) 96Kg,Phil Spencer,89.6,70,75,-78,90,-95,95,75,95,170
LOWA invitational 2 2018,2018-10-19,Women's Under 23 64Kg,Nadja Auerbach,62.8,-60,60,63,80,85,-90,63,85,148
LOWA invitational 2 2018,2018-10-19,Women's Senior 71Kg,Magda Garbacz,68.1,63,-66,-66,71,-74,-74,63,71,134
LOWA invitational 2 2018,2018-10-19,Women's Masters (40-44) 71Kg,Elaine Sims,68.9,52,55,-59,70,74,-78,55,74,129
LOWA invitational 2 2018,2018-10-19,Women's Senior 55Kg,Chloe Motion,53.1,43,46,49,53,-56,56,49,56,105
LOWA invitational 2 2018,2018-10-19,Women's Masters (35-39) 59Kg,Sarah Hilton,57.1,35,40,43,40,45,50,43,50,93
LOWA invitational 2 2018,2018-10-19,Women's Senior 87Kg,Chloe Whylie,83.8,70,-75,-75,-85,-85,0,70,0,70
LOWA invitational 2 2018,2018-10-19,Women's Senior 59Kg,Haylene Ryan Causer,58,-52,52,-55,-67,-67,-67,52,0,52
