event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2015 Northern Ireland Championships,2015-11-14,Men's Senior 105Kg,Philp Smyth,102.2,130,135,140,160,165,170,140,170,310
2015 Northern Ireland Championships,2015-11-14,Men's Senior 85Kg,Peter Stewart,84.6,108,113,-117,139,143,147,113,147,260
2015 Northern Ireland Championships,2015-11-14,Men's Senior 85Kg,David Knowles,83,105,108,112,135,142,147,112,147,259
2015 Northern Ireland Championships,2015-11-14,Men's Senior 94Kg,Miles Canning,91.4,-107,112,117,-130,135,141,117,141,258
2015 Northern Ireland Championships,2015-11-14,Men's Senior 105Kg,Joshua McCullough,98.5,105,115,-121,130,140,-145,115,140,255
2015 Northern Ireland Championships,2015-11-14,Men's Senior 94Kg,Stephen Forbes,89.8,107,112,-117,128,135,141,112,141,253
2015 Northern Ireland Championships,2015-11-14,Men's Senior +105Kg,aaron small,106.9,100,108,-113,130,138,143,108,143,251
2015 Northern Ireland Championships,2015-11-14,Men's Senior 85Kg,Wern Hao Yap,84.4,90,96,102,110,123,-126,102,123,225
2015 Northern Ireland Championships,2015-11-14,Men's Junior Under 20 77Kg,Jamie Hill,75.7,92,96,100,112,117,122,100,122,222
2015 Northern Ireland Championships,2015-11-14,Men's Senior 105Kg,Aaron Dillon,99.7,80,85,90,115,120,125,90,125,215
2015 Northern Ireland Championships,2015-11-14,Men's Senior 85Kg,Neil Alderdice,83.4,84,87,90,-117,-118,118,90,118,208
2015 Northern Ireland Championships,2015-11-14,Men's Senior 77Kg,Ross Stewart,74.4,75,80,85,100,-106,107,85,107,192
2015 Northern Ireland Championships,2015-11-14,Men's Senior 77Kg,seamus agnew,76.9,78,82,86,96,101,106,86,106,192
2015 Northern Ireland Championships,2015-11-14,Men's Junior Under 20 +105Kg,Cameron Montgomery,112.3,80,-85,-87,105,-110,112,80,112,192
2015 Northern Ireland Championships,2015-11-14,Men's Senior 77Kg,Wilson Cheah,69.6,68,72,-76,-100,101,-108,72,101,173
2015 Northern Ireland Championships,2015-11-14,Men's Youth Under 17 62Kg,Donal McLaughlin,61.4,65,69,72,-85,85,-90,72,85,157
2015 Northern Ireland Championships,2015-11-14,Men's Senior 69Kg,Joshua Khoo,66.9,-60,62,-68,-90,-90,90,62,90,152
2015 Northern Ireland Championships,2015-11-14,Women's Senior 75Kg,Rebekah Thompson,69.4,57,60,62,-74,75,78,62,78,140
2015 Northern Ireland Championships,2015-11-14,Women's Senior 69Kg,Steph Graham,68.6,55,58,61,68,71,-74,61,71,132
2015 Northern Ireland Championships,2015-11-14,Women's Senior 63Kg,Sarah Howes,60.6,52,-55,-55,66,70,-73,52,70,122
2015 Northern Ireland Championships,2015-11-14,Men's Youth Under 17 62Kg,Arthur Quinn,60.8,50,57,-62,60,65,-70,57,65,122
2015 Northern Ireland Championships,2015-11-14,Women's Senior 69Kg,Jill Costley,67.5,48,-52,-54,64,67,70,48,70,118
2015 Northern Ireland Championships,2015-11-14,Women's Senior 75Kg,Natalie Lavery,72.7,45,-50,-52,65,68,72,45,72,117
2015 Northern Ireland Championships,2015-11-14,Men's Senior 62Kg,Richard Peters,56.6,45,49,-53,55,60,65,49,65,114
2015 Northern Ireland Championships,2015-11-14,Women's Senior 48Kg,Triona Quigley,47,48,-51,-51,60,63,-65,48,63,111
2015 Northern Ireland Championships,2015-11-14,Men's Youth Under 17 56Kg,Matthew Quinn,55.7,45,-50,-50,60,65,-70,45,65,110
2015 Northern Ireland Championships,2015-11-14,Women's Senior 58Kg,Katelyn Reuther,56.4,45,48,-51,-62,62,-66,48,62,110
2015 Northern Ireland Championships,2015-11-14,Women's Senior 63Kg,Jenni Sanders,60.6,-40,40,-45,62,-66,-67,40,62,102
2015 Northern Ireland Championships,2015-11-14,Women's Senior 69Kg,Rebecca Foreman,66.2,38,-42,-42,-55,55,-57,38,55,93
2015 Northern Ireland Championships,2015-11-14,Women's Senior 75Kg,Naomi Henry,72.7,35,38,-41,45,48,-51,38,48,86
2015 Northern Ireland Championships,2015-11-14,Women's Youth Under 15 53Kg,Erynn Kinley,52,35,38,-41,40,43,46,38,46,84
2015 Northern Ireland Championships,2015-11-14,Men's Senior 85Kg,Abe Carpenter,83.3,-80,80,-85,-100,-106,-106,80,0,80
