event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 85,Roman Röthlisberger,78.55,67,72,76,88,93,-96,76,93,169
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 95,Jan Küng,92.45,75,78,-82,95,100,-105,78,100,178
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 75,Patrik Schmuck,72.25,66,-69,-70,85,90,93,66,93,159
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M >110,Tobias Freitag,115.75,80,85,90,100,105,110,90,110,200
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 85,Andreas Tapfer,82.85,68,71,74,85,89,-93,74,89,163
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 85,Claudio Maraffio,76.75,58,-62,63,80,84,-88,63,84,147
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 70,Urs Kern,69.75,57,60,-63,72,75,79,60,79,139
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 75,Hektor Medranda Delgado,71.15,57,59,62,75,77,-80,62,77,139
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 70,Samuel Büchler,65.15,50,53,56,70,72,74,56,74,130
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 70,Lukas Neiger,69.55,52,54,57,70,0,0,57,70,127
2026/27 - R - Z4 - 1 - L3M,2026-09-05,male - M 110,Rainer Lindemann,99.25,52,54,56,72,74,76,56,76,132
