event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
SAWLA / SAWC November Open,2014-11-15,female - F75,Stephanie Combs,70.78,45,50,-55,60,-65,65,50,65,115
SAWLA / SAWC November Open,2014-11-15,female - F87,Autumn Lee,85.98,-45,-45,45,58,62,65,45,65,110
SAWLA / SAWC November Open,2014-11-15,male - M77,Frank Elliott,76.98,120,-130,-140,145,-155,-165,120,145,265
SAWLA / SAWC November Open,2014-11-15,male - M85,Kieran Eldridge,83.64,90,95,0,120,-125,-125,95,120,215
SAWLA / SAWC November Open,2014-11-15,male - M94,Brian Peters,90.86,85,90,95,110,115,-120,95,115,210
SAWLA / SAWC November Open,2014-11-15,male - M105+,Jared Grimm,138.02,80,85,90,90,98,102,90,102,192
SAWLA / SAWC November Open,2014-11-15,male - M105+,Anthony Formichella,116.86,65,70,-74,80,-90,-95,70,80,150
SAWLA / SAWC November Open,2014-11-15,male - M89,John Humphrys,84.20,-39,39,41,-50,-50,-50,41,0,0
SAWLA / SAWC November Open,2014-11-15,male - M102,Trent Reinboth,98.48,90,95,-100,-118,-118,118,95,118,213
SAWLA / SAWC November Open,2014-11-15,male - M102,Luke Rowett,99.36,-63,65,-72,95,102,-107,65,102,167
