event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Toowoomba Weightlifting Club Competition,2018-03-10,female - F49,Lisa Souter,48.30,-36,-36,36,45,-47,47,36,47,83
Toowoomba Weightlifting Club Competition,2018-03-10,female - F58,Tori Gallegos,57.80,57,59,61,76,78,-80,61,78,139
Toowoomba Weightlifting Club Competition,2018-03-10,female - F63,Emma Stevens,62.20,-27,28,30,33,35,-37,30,35,65
Toowoomba Weightlifting Club Competition,2018-03-10,female - F69,Mikaela Dorge,64.40,50,-53,53,64,68,70,53,70,123
Toowoomba Weightlifting Club Competition,2018-03-10,female - F69,Tanya Eames,64.60,-50,50,-53,-67,68,70,50,70,120
Toowoomba Weightlifting Club Competition,2018-03-10,female - F76,Rebecca Gowland,74.60,47,50,-52,58,60,62,50,62,112
Toowoomba Weightlifting Club Competition,2018-03-10,female - F81,Megan Stevens,77.70,32,34,-37,40,-43,43,34,43,77
Toowoomba Weightlifting Club Competition,2018-03-10,female - F87+,Emily Maher,87.60,35,38,42,40,45,48,42,48,90
Toowoomba Weightlifting Club Competition,2018-03-10,male - M89,Brent Vaughan,84.70,85,90,92,-110,110,-113,92,110,202
Toowoomba Weightlifting Club Competition,2018-03-10,male - M94,Teal Hildebrand,93.80,-50,-50,50,65,-70,72,50,72,122
Toowoomba Weightlifting Club Competition,2018-03-10,male - M105+,Tim Labinsky,141.80,80,90,-100,-120,120,-127,90,120,210
