event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Ian Laurie Cup Invitational,2023-09-09,female,Isabella Lowe King,48.70,52,-54,54,66,68,-70,54,68,122
Ian Laurie Cup Invitational,2023-09-09,female,Melanie Bennett,46.85,46,49,-52,65,-68,-69,49,65,114
Ian Laurie Cup Invitational,2023-09-09,female,Ellie Zalcman,46.65,30,33,35,35,40,-45,35,40,75
Ian Laurie Cup Invitational,2023-09-09,female,Phoebe Yao,58.45,48,51,-54,65,-68,-68,51,65,116
Ian Laurie Cup Invitational,2023-09-09,female,Mia Gainsmith,57.00,38,41,43,45,48,51,43,51,94
Ian Laurie Cup Invitational,2023-09-09,female,Sherilyn Moffitt,57.60,34,37,-40,50,53,-55,37,53,90
Ian Laurie Cup Invitational,2023-09-09,female,Layla Bloom,70.55,70,74,-77,100,103,106,74,106,180
Ian Laurie Cup Invitational,2023-09-09,female,Tanita Jackson Dyer,69.55,46,50,-53,68,71,74,50,74,124
Ian Laurie Cup Invitational,2023-09-09,female,Katrina Jorna,67.50,45,48,-50,55,58,-60,48,58,106
Ian Laurie Cup Invitational,2023-09-09,female,Elise Schack,74.15,67,71,-75,82,86,90,71,90,161
Ian Laurie Cup Invitational,2023-09-09,female,Isabel Grylls,71.70,63,66,70,74,78,84,70,84,154
Ian Laurie Cup Invitational,2023-09-09,female,Jessica Berry,75.30,62,65,68,75,80,85,68,85,153
Ian Laurie Cup Invitational,2023-09-09,female,Kim (Thien) Nguyen,72.60,45,-49,-49,55,58,-61,45,58,103
Ian Laurie Cup Invitational,2023-09-09,female,Tanesha Hosking-Mani,84.20,63,-67,-67,80,83,-85,63,83,146
Ian Laurie Cup Invitational,2023-09-09,female,Jennifer Zeven,115.55,55,58,61,-85,-85,85,61,85,146
Ian Laurie Cup Invitational,2023-09-09,female,Jewel Banks,114.40,52,55,57,64,68,70,57,70,127
Ian Laurie Cup Invitational,2023-09-09,female,Chloe Power,100.35,44,47,-51,60,64,67,47,67,114
Ian Laurie Cup Invitational,2023-09-09,male,Damien Hewish,59.60,55,60,65,70,75,81,65,81,146
Ian Laurie Cup Invitational,2023-09-09,male,Christos Christou,58.00,35,39,-41,45,50,-55,39,50,89
Ian Laurie Cup Invitational,2023-09-09,male,Jacob Sanderson,70.40,88,91,-94,113,117,-120,91,117,208
Ian Laurie Cup Invitational,2023-09-09,male,Mark Sun,71.80,78,-82,-84,99,-104,-104,78,99,177
Ian Laurie Cup Invitational,2023-09-09,male,Dan Hood,70.50,70,74,-78,90,93,-100,74,93,167
Ian Laurie Cup Invitational,2023-09-09,male,Reza Pahlevi Mandala,80.45,95,100,-103,125,-130,131,100,131,231
Ian Laurie Cup Invitational,2023-09-09,male,Nicholas Heng,79.70,90,-95,-96,123,128,-131,90,128,218
Ian Laurie Cup Invitational,2023-09-09,male,Martin Ta,74.10,85,89,92,108,113,116,92,116,208
Ian Laurie Cup Invitational,2023-09-09,male,Vlad Panoschi,79.10,73,75,77,95,99,101,77,101,178
Ian Laurie Cup Invitational,2023-09-09,male,James Goss,76.65,70,75,-80,80,85,90,75,90,165
Ian Laurie Cup Invitational,2023-09-09,male,Frank Elliott,88.60,122,128,132,160,169,-172,132,169,301
Ian Laurie Cup Invitational,2023-09-09,male,Zach Wallace,82.30,105,110,115,145,150,-155,115,150,265
Ian Laurie Cup Invitational,2023-09-09,male,Matthew Pit,87.60,105,110,-115,140,150,-155,110,150,260
Ian Laurie Cup Invitational,2023-09-09,male,Scott Pavlovic,88.45,92,97,100,125,130,0,100,130,230
Ian Laurie Cup Invitational,2023-09-09,male,Thomas Harris,88.35,90,93,96,122,127,131,96,131,227
Ian Laurie Cup Invitational,2023-09-09,male,Marcus Tan,87.65,90,-95,-96,115,120,-125,90,120,210
Ian Laurie Cup Invitational,2023-09-09,male,Andrew Kentish,94.85,110,115,-121,125,130,-135,115,130,245
Ian Laurie Cup Invitational,2023-09-09,male,Gian Carlo Arrabis Conde,95.50,70,75,-80,80,85,-90,75,85,160
Ian Laurie Cup Invitational,2023-09-09,male,Alex Zhou,95.85,70,-75,-75,80,85,90,70,90,160
Ian Laurie Cup Invitational,2023-09-09,male,Nicodemus Scheelings,97.00,123,128,131,152,158,-163,131,158,289
Ian Laurie Cup Invitational,2023-09-09,male,Karol Strus,101.25,110,115,-121,135,145,-148,115,145,260
Ian Laurie Cup Invitational,2023-09-09,male,Dante Hosking-Mani,97.05,80,85,-89,100,-107,-107,85,100,185
