event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F58,Natalie Marshall,57.65,55,58,61,73,76,80,61,80,141
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F58,Madison Newton,53.70,37,40,43,45,48,-51,43,48,91
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F63,Nicole Boutsikakis,59.80,-63,63,-67,80,-84,86,63,86,149
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F63,Erin Oberem,62.75,31,33,35,41,43,45,35,45,80
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F69,Kaiya Ngahina Marsh,69.00,67,71,75,86,-90,-98,75,86,161
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F69,Theresa Major,67.40,36,40,43,52,56,61,43,61,104
Noosa Barbell Club Challenge Round 2,2026-06-06,female - F86,Kirrily Dowd,84.70,33,35,-37,41,-45,47,35,47,82
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M60,Hendrix Marsh,49.45,35,40,43,45,50,57,43,57,100
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M65,Montgomery Murray,61.90,27,31,35,30,34,-36,35,34,69
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M79,Kase Dowd,73.75,60,65,70,80,87,90,70,90,160
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M79,Archie Murray,72.15,40,50,-56,54,61,69,50,69,119
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M79,Eli Frew,71.65,39,42,43,45,-49,-50,43,45,88
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M88,Cooper Ward,85.85,80,-85,-85,100,0,0,80,100,180
Noosa Barbell Club Challenge Round 2,2026-06-06,male - M110,Taj Marsh,109.75,110,120,130,150,160,170,130,170,300
