event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
PC Final,2025-11-22,female - F53,Jemma Berwick,50.14,-35,35,-39,45,50,-53,35,50,85
PC Final,2025-11-22,female - F63,Paige Barry,62.92,45,-49,49,66,-71,71,49,71,120
PC Final,2025-11-22,female - F69,Gabrielle Osborne,66.32,36,38,-40,47,50,52,38,52,90
PC Final,2025-11-22,female - F77,Chloe Bone,70.14,-59,59,-64,71,-75,-75,59,71,130
PC Final,2025-11-22,female - F77,Thandiwe Chirobo,72.10,45,48,-50,53,56,58,48,58,106
PC Final,2025-11-22,female - F86+,Kirsty Mcquade,104.48,35,38,-41,48,52,-55,38,52,90
PC Final,2025-11-22,female - F86+,Tina Hall,92.66,34,37,-40,43,47,51,37,51,88
PC Final,2025-11-22,male - M60,Noah Mervin,59.59,41,44,-46,45,50,-52,44,50,94
PC Final,2025-11-22,male - M65,Jeriah Lockhart,64.95,45,-51,-51,57,62,-69,45,62,107
PC Final,2025-11-22,male - M65,Fletcher Crowe,63.29,20,25,30,30,35,-40,30,35,65
PC Final,2025-11-22,male - M71,Finlay Jamieson,69.94,62,68,71,77,83,-90,71,83,154
PC Final,2025-11-22,male - M71,Phoenix Calvert,67.32,58,61,64,72,76,80,64,80,144
PC Final,2025-11-22,male - M79,Corey Horsburgh,77.88,-89,92,-98,116,-122,-122,92,116,208
PC Final,2025-11-22,male - M79,Alexander Stephens,77.11,60,64,70,85,92,-100,70,92,162
PC Final,2025-11-22,male - M79,Evan Young,77.96,62,66,-68,75,80,-83,66,80,146
PC Final,2025-11-22,male - M79,Brodie Ponting,76.99,45,-50,-50,50,55,-61,45,55,100
PC Final,2025-11-22,male - M88,Leonard Lee,85.41,56,-59,59,72,75,77,59,77,136
PC Final,2025-11-22,male - M110,Lewis Laycock,101.58,75,82,90,100,105,110,90,110,200
PC Final,2025-11-22,male - M110,Damian Liddell,106.34,55,60,-65,75,80,-91,60,80,140
PC Final,2025-11-22,male - M110+,Clayton Davis,122.95,60,65,-70,70,77,90,65,90,155
