event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
QWA League Round 3,2019-09-07,female - F55,Jemma Cowper,54.44,36,38,40,52,55,58,40,58,98
QWA League Round 3,2019-09-07,female - F55,Julie Davis,54.96,25,-26,-26,33,35,-37,25,35,60
QWA League Round 3,2019-09-07,female - F64,Colleen Duplock,62.55,26,27,28,32,-34,34,28,34,62
QWA League Round 3,2019-09-07,female - F81,Cassie Todd,80.10,-72,72,-76,-100,100,103,72,103,175
QWA League Round 3,2019-09-07,female - F81,Claire Binch,79.45,65,68,70,98,-102,102,70,102,172
QWA League Round 3,2019-09-07,female - F81,Angela Barnas,80.30,55,59,-63,75,79,83,59,83,142
QWA League Round 3,2019-09-07,female - F87+,Makayla Dingle,93.70,67,70,73,86,89,-92,73,89,162
QWA League Round 3,2019-09-07,female - F87+,Hayley Dingle,93.55,53,56,-60,70,73,75,56,75,131
QWA League Round 3,2019-09-07,female - F87+,Rebecca Smith,92.95,45,0,0,55,0,0,45,55,100
QWA League Round 3,2019-09-07,female - F87+,Rachel Mcdonald,97.70,37,40,43,50,54,-58,43,54,97
QWA League Round 3,2019-09-07,male - M55,Levi Deans,53.04,47,50,53,60,64,67,53,67,120
QWA League Round 3,2019-09-07,male - M81,Chevy Sukkar,80.75,125,130,-133,150,155,-158,130,155,285
QWA League Round 3,2019-09-07,male - M81,Steven Graham,75.70,77,-81,-81,-108,108,0,77,108,185
QWA League Round 3,2019-09-07,male - M81,Maximilian Clark,74.40,70,75,-80,100,105,-110,75,105,180
QWA League Round 3,2019-09-07,male - M96,Nathan Mortensen,90.55,90,-95,-100,120,125,-130,90,125,215
QWA League Round 3,2019-09-07,male - M96,Matthew Barrett,96.00,60,64,-67,74,78,-83,64,78,142
QWA League Round 3,2019-09-07,male - M109,Raido Ruven,106.60,105,-110,110,145,155,-160,110,155,265
QWA League Round 3,2019-09-07,male - M109,Jack Major,107.30,-100,100,105,133,137,-140,105,137,242
