event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F58,Kaitlyn Duignan,57.96,54,57,60,74,78,-81,60,78,138
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F63,Paige Kimmince,62.96,57,62,65,78,83,-86,65,83,148
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F63,Laura Prior,62.40,53,57,60,76,80,84,60,84,144
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F63,Natalie Setiadji,58.82,-46,46,50,67,-71,71,50,71,121
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F63,Emma Kobez,58.32,45,49,52,57,61,65,52,65,117
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F63,Kaelah Thompson,61.94,33,36,38,47,51,55,38,55,93
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F69,Maddison Black,67.62,67,70,73,82,85,-88,73,85,158
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F69,Leanne Thomas,68.94,58,62,65,83,87,90,65,90,155
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F69,Kat Baker,66.56,50,55,60,60,65,70,60,70,130
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F71,Meg Emerton,65.60,37,38,39,48,50,51,39,51,90
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F90,Erica Hamilton,79.04,45,49,52,64,69,-74,52,69,121
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F90+,Ashlee Moule,116.88,40,43,45,-50,50,53,45,53,98
Uesaka QLD Club Challenge and League Round 2,2018-06-23,female - F87+,Rawena Tairi,90.06,35,36,-37,49,-51,-51,36,49,85
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M56,Quyen Nguyen,56.00,65,-69,-70,84,90,93,65,93,158
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M56,Harper Manz,55.36,46,49,-52,61,64,67,49,67,116
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M56,Bailey Meares,52.50,28,32,35,30,34,38,35,38,73
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M62,Harrison Gaffney,61.92,65,70,73,85,90,100,73,100,173
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M69,Chen Zhao,67.66,67,72,-75,87,92,95,72,95,167
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M73,Lincoln Hanson,70.78,88,92,95,107,111,-114,95,111,206
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M77,Sam Jansson,76.26,100,104,108,132,-137,-143,108,132,240
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M77,Dylan Mcgann,73.82,100,-105,105,131,-136,-137,105,131,236
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M77,Patrick Castelli,75.76,-80,80,85,108,114,-119,85,114,199
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M77,Max Kobez,73.16,75,80,83,85,90,95,83,95,178
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M85,Beau Garrett,84.96,110,115,118,132,137,142,118,142,260
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M85,Nathan George,79.18,90,94,-97,117,122,125,94,125,219
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M89,Sam Hornick,87.56,86,-90,90,110,114,116,90,116,206
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M94,Kris Corrie,93.88,110,115,120,135,140,145,120,145,265
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M94,Reilly Smith,91.22,100,105,110,140,146,-151,110,146,256
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M94,Dylan Fowler,89.82,100,-105,-105,115,120,0,100,120,220
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M94,Sotiri Karageorgiou,93.98,80,85,90,100,105,110,90,110,200
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M94,Dean Coulstock,87.64,55,59,63,75,80,83,63,83,146
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M94,Hunter Binskin,87.92,32,36,40,44,48,52,40,52,92
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M96,Daniel Sutherland,93.86,75,-80,80,115,120,125,80,125,205
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M105,Ben Shaw,100.62,110,115,120,137,142,0,120,142,262
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M105,Fraser Harrison,98.50,102,106,110,130,-136,136,110,136,246
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M105,William Findlay,99.16,98,103,108,126,131,136,108,136,244
Uesaka QLD Club Challenge and League Round 2,2018-06-23,male - M105+,Alex Murphy,105.92,75,78,-80,100,-105,-106,78,100,178
