meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2018 Max's Gym Open,2018-12-02,Open Men's 81kg,Conner Sparks,78.37,100,-105,108,139,144,150,108,150,258
2018 Max's Gym Open,2018-12-02,Open Men's 96kg,Ricky Espiritu,95.67,-107,110,-113,132,137,140,110,140,250
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Andre Pulizzi,72.35,100,105,108,125,132,-133,108,132,240
2018 Max's Gym Open,2018-12-02,Open Men's 89kg,Patrick Tangphao,87.43,105,110,-114,125,-130,130,110,130,240
2018 Max's Gym Open,2018-12-02,Open Men's 89kg,Duy Tran,87.1,93,-97,97,135,140,-145,97,140,237
2018 Max's Gym Open,2018-12-02,Open Men's 96kg,Tory Myhre,95.43,96,99,102,125,130,-135,102,130,232
2018 Max's Gym Open,2018-12-02,Open Men's 96kg,Tyler Reese,94.56,91,96,100,120,126,131,100,131,231
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Ferris Wang,71.47,100,-105,-105,125,-130,130,100,130,230
2018 Max's Gym Open,2018-12-02,Open Men's +109kg,David Nguyen,110.81,90,-97,97,125,130,-133,97,130,227
2018 Max's Gym Open,2018-12-02,Open Men's 102kg,Devin McAfee,101.57,100,105,110,110,117,-122,110,117,227
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Vincent Wynn,72.04,98,-101,101,120,125,-130,101,125,226
2018 Max's Gym Open,2018-12-02,Open Men's 81kg,John Marman Jr.,80.72,95,-98,100,-120,125,-128,100,125,225
2018 Max's Gym Open,2018-12-02,Open Men's 89kg,Shaquile Peralta,88.04,94,97,-100,124,-127,128,97,128,225
2018 Max's Gym Open,2018-12-02,Open Men's 102kg,Brian Ramos,100.3,91,96,102,115,120,-125,102,120,222
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Coleman Gravitt,71.42,92,95,-100,-120,120,125,95,125,220
2018 Max's Gym Open,2018-12-02,Open Men's 96kg,David Helgeson,92.12,-93,95,-100,115,120,125,95,125,220
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Ronak Vora,70.91,88,91,94,108,112,117,94,117,211
2018 Max's Gym Open,2018-12-02,Open Men's 102kg,Kiefer Cowie,98.27,85,89,-92,110,115,120,89,120,209
2018 Max's Gym Open,2018-12-02,Open Men's 89kg,Darren Ng,85.94,88,90,-94,115,-120,-122,90,115,205
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,FRANCIS JOVES,70.21,87,-90,90,106,111,113,90,113,203
2018 Max's Gym Open,2018-12-02,Open Men's 109kg,Wilmar Dumaop,106.63,84,87,90,105,109,113,90,113,203
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Sid Florendo,71.79,86,89,92,105,110,-118,92,110,202
2018 Max's Gym Open,2018-12-02,Open Men's 89kg,Daniel Francis,87.82,84,86,89,107,113,-118,89,113,202
2018 Max's Gym Open,2018-12-02,Open Men's 73kg,Daniel Pazuchowski,71.14,82,86,90,102,106,110,90,110,200
2018 Max's Gym Open,2018-12-02,Open Men's 81kg,Jason Bolton,80.84,80,83,-86,105,108,111,83,111,194
